Sample.Name,Mineralogy,Material,N,D47,D47error,Temperature,TempError,Temperature_original,TempError_original
70CCalcite3-30-2011,A,1,1,0.5956,0.008,8.492430347,0.049281372,70,1
25CCalcite1-12-2011,C,1,1,0.6979,0.011,11.24942624,0.075083563,25,1
25CCalcite1-12-2011,C,1,1,0.6846,0.01,11.24942624,0.075083563,25,1
25CCalcite1-21-2011,C,1,1,0.6819,0.008,11.24942624,0.075083563,25,1
70CCalcite3-30-2011,A,1,1,0.6039,0.008,8.492430347,0.049281372,70,1
70CCalcite3-30-11,A,1,1,0.5552,0.008,8.492430347,0.049281372,70,1
5CAragonite,A,1,1,0.7669,0.009,12.92533689,0.092439088,5,1
25CAragonite10-17-2013,A,1,1,0.6855,0.009,11.24942624,0.075083563,25,1
70CCalcite10-10-2013,C,1,1,0.592,0.008,8.492430347,0.049281372,70,1
70CAragonite3-30-2011,A,1,1,0.5589,0.01,8.492430347,0.049281372,70,1
5CAragonite11-19-2013,A,1,1,0.7273,0.009,12.92533689,0.092439088,5,1
25CAragonite10-17-2013,A,1,1,0.6501,0.009,11.24942624,0.075083563,25,1
70CCalcite10-10-2013,C,1,1,0.5964,0.009,8.492430347,0.049281372,70,1
5CAragonite11-19-2013,A,1,1,0.7019,0.009,12.92533689,0.092439088,5,1
25CAragonite10-17-2013,A,1,1,0.6927,0.01,11.24942624,0.075083563,25,1
70CCalcite10-10-2013,C,1,1,0.5793,0.009,8.492430347,0.049281372,70,1
25CCalcite1-12-2011,C,1,1,0.6377,0.01,11.24942624,0.075083563,25,1
5CAragonite11-19-2013,A,1,1,0.7167,0.01,12.92533689,0.092439088,5,1
25CAragonite10-17-2013,A,1,1,0.6708,0.008,11.24942624,0.075083563,25,1
70Ccalcite10-10-2013,C,1,1,0.5713,0.009,8.492430347,0.049281372,70,1
5CCalcite1-12-2012,C,1,1,0.7157,0.01,12.92533689,0.092439088,5,1
5CCalcite1-11-2012,C,1,1,0.7269,0.011,12.92533689,0.092439088,5,1
5Ccalcite1-11-2012,C,1,1,0.7291,0.009,12.92533689,0.092439088,5,1
5Ccalcite1-11-2012,C,1,1,0.7259,0.01,12.92533689,0.092439088,5,1
50CAragonite3-14-2014,A,1,1,0.6109,0.01,9.576166301,0.058993646,50,1
50CAragonite3-14-2014,A,1,1,0.5968,0.009,9.576166301,0.058993646,50,1
50CAragonite3-14-2014,A,1,1,0.6241,0.009,9.576166301,0.058993646,50,1
50CAragonite3-14-2014,A,1,1,0.6083,0.01,9.576166301,0.058993646,50,1
50CArag3-14-2014,A,1,1,0.5861,0.01,9.576166301,0.058993646,50,1
50CCalcite3-24-2014,C,1,1,0.6086,0.01,9.576166301,0.058993646,50,1
50CCalcite3-24-2014,C,1,1,0.5931,0.009,9.576166301,0.058993646,50,1
50CCalcite3-24-2014,C,1,1,0.5699,0.01,9.576166301,0.058993646,50,1
50CCalcite3-24-2014,C,1,1,0.5933,0.009,9.576166301,0.058993646,50,1
AC30dolo,D,1,1,0.6565,0.011,11.10000833,0.360775664,27,5
AC30dolo,D,1,1,0.6612,0.009,11.10000833,0.360775664,27,5
AC30dolo,D,1,1,0.7336,0.008,11.10000833,0.360775664,27,5
AC30dolo,D,1,1,0.6513,0.01,11.10000833,0.360775664,27,5
250-I-7-d-1,D,1,1,0.4038,0.01,3.653823298,0.027777706,250,2
250-I-7-d-2,D,1,1,0.4013,0.009,3.653823298,0.027777706,250,2
O-T-5-d-1,D,1,1,0.4053,0.011,4.145450209,0.033556071,218,2
200-p-30-d-1,D,1,1,0.4201,0.009,4.466859692,0.037524645,200,2
250-I-7-d-3,D,1,1,0.3873,0.01,3.653823298,0.027777706,250,2
O-T-5-d-2,D,1,1,0.3757,0.012,4.145450209,0.033556071,218,2
200-p-30-D-2,D,1,1,0.4292,0.011,4.466859692,0.037524645,200,2
250-I-7-d-4,D,1,1,0.4052,0.011,3.653823298,0.027777706,250,2
O-T-5-d-3,D,1,1,0.3938,0.009,4.145450209,0.033556071,218,2
200-p-30-d-3,D,1,1,0.4313,0.012,4.466859692,0.037524645,200,2
IODP-d-2,D,1,1,0.6892,0.01,11.55745722,0.818224555,21,11
200-P-30-d-4,D,1,1,0.4278,0.012,4.466859692,0.037524645,200,2
O-T-5-d-4,D,1,1,0.4139,0.01,4.145450209,0.033556071,218,2
IODP-d-4,D,1,1,0.7043,0.01,11.55745722,0.818224555,21,11
