"","Publication","Code","AdditionalTaxonomicInfo","Genus","Species","CurrentGenus","CurrentSpecies","ForamEcogroup","EcoGroupPub","Sample.Name","Material","Lab","Forams","MarineMetazoa","Teeth","NaturalSynthetic","Mollusk","Lake","Corals","N","D47","D47error","Temperature_C","Temperature","TempError_C","TempError","d18O.water","d18O.water.SD","Acid.T","pH","Source","CDESorICDES","LARGEorSMALL","SyntheticVSForam","BenthicPlanktic"
"1","2018","Peral","Foraminifera","Cibicides","Cibicides wuellerstorfi","Cibicidoides","Cibicidoides wuellerstorfi","Unknown","","Cibicides wuellerstorfi MOCOSEDst1","C","IPSL","Foraminifera",2,2,"Natural","NonMollusk","Non-lake","NonCorals",16,0.686,0.003,-1.17693,13.51911284,0.81073,0.08,16,NA,"90","","","ICDES","Large","Forams","Benthic"
"2","2018","Peral","Foraminifera","Globigerina","Globigerina bulloides","Globigerina","Globigerina bulloides","Top 30 to 50m. Isotopes of C&O known to be out of equilibrium w seawater","Curry and Matthews, 1981; Kahn and Williams, 1981; Deuser and Ross, 1989; Sautter and Thunell, 1991; Spero and Lea 1996; Niebler et al 1999","Globigerina bulloides MD08-3182","C","IPSL","Foraminifera",2,2,"Natural","NonMollusk","Non-lake","NonCorals",15,0.653,0.003,12.8396,12.22642588,0.02417,0.002,15,NA,"90","","","ICDES","Large","Forams","Planktic"
"3","2018","Peral","Foraminifera","Globigerina","Globigerina bulloides","Globigerina","Globigerina bulloides","Top 30 to 50m. Isotopes of C&O known to be out of equilibrium w seawater","Curry and Matthews, 1981; Kahn and Williams, 1981; Deuser and Ross, 1989; Sautter and Thunell, 1991; Spero and Lea 1996; Niebler et al 1999","Globigerina bulloides MD12-3401","C","IPSL","Foraminifera",2,2,"Natural","NonMollusk","Non-lake","NonCorals",8,0.66,0.004,12.6452,12.24306455,0.02426,0.002,19,NA,"90","","","ICDES","Large","Forams","Planktic"
"4","2018","Peral","Foraminifera","Globigerina","Globigerina bulloides","Globigerina","Globigerina bulloides","Top 30 to 50m. Isotopes of C&O known to be out of equilibrium w seawater","Curry and Matthews, 1981; Kahn and Williams, 1981; Deuser and Ross, 1989; Sautter and Thunell, 1991; Spero and Lea 1996; Niebler et al 1999","Globigerina bulloides MD95-2014","C","IPSL","Foraminifera",2,2,"Natural","NonMollusk","Non-lake","NonCorals",8,0.648,0.004,10.9081,12.39326238,0.02392,0.002,8,NA,"90","","","ICDES","Large","Forams","Planktic"
"5","2018","Peral","Foraminifera","Globigerina","Globigerina bulloides","Globigerina","Globigerina bulloides","Top 30 to 50m. Isotopes of C&O known to be out of equilibrium w seawater","Curry and Matthews, 1981; Kahn and Williams, 1981; Deuser and Ross, 1989; Sautter and Thunell, 1991; Spero and Lea 1996; Niebler et al 2000","Globigerina bulloides SU90-03","C","IPSL","Foraminifera",2,2,"Natural","NonMollusk","Non-lake","NonCorals",6,0.643,0.004,11.6684,12.32718504,0.02383,0.002,6,NA,"90","","","ICDES","Large","Forams","Planktic"
"6","2018","Peral","Foraminifera","Globigerinoides","Globigerinoides ruber","Globigerinoides","Globigerinoides ruber","1 Open ocean mixed-layer tropical/subtropical with symbionts","Aze et al 2011","Globigerinoides ruber MD00-2360","C","IPSL","Foraminifera",2,2,"Natural","NonMollusk","Non-lake","NonCorals",7,0.591,0.005,27.261,11.08072912,0.01943,0.001,7,NA,"90","","","ICDES","Large","Forams","Planktic"
"7","2018","Peral","Foraminifera","Globigerinoides","Globigerinoides ruber","Globigerinoides","Globigerinoides ruber","1 Open ocean mixed-layer tropical/subtropical with symbionts","Aze et al 2011","Globigerinoides ruber MD02-2577","C","IPSL","Foraminifera",2,2,"Natural","NonMollusk","Non-lake","NonCorals",8,0.598,0.005,24.8816,11.25836621,0.01901,0.001,16,NA,"90","","","ICDES","Large","Forams","Planktic"
"8","2018","Peral","Foraminifera","Globigerinoides","Globigerinoides ruber","Globigerinoides","Globigerinoides ruber","1 Open ocean mixed-layer tropical/subtropical with symbionts","Aze et al 2011","Globigerinoides ruber MD08-3179","C","IPSL","Foraminifera",2,2,"Natural","NonMollusk","Non-lake","NonCorals",8,0.62,0.006,20.0042,11.63610841,0.01914,0.002,8,NA,"90","","","ICDES","Large","Forams","Planktic"
"9","2018","Peral","Foraminifera","Globoconella","Globoconella inflata","Globoconella","Globoconella inflata","3 Open ocean thermocline","Aze et al 2011","G. inflata 200-250 MD08-3179","C","IPSL","Foraminifera",2,2,"Natural","NonMollusk","Non-lake","NonCorals",4,0.623,0.007,15.137,12.0323341,0.022,0.002,4,NA,"90","","","ICDES","Large","Forams","Planktic"
"10","2018","Peral","Foraminifera","Globoconella","Globoconella inflata","Globoconella","Globoconella inflata","4 Open ocean thermocline","Aze et al 2011","G. inflata 250-315 MD08-3179","C","IPSL","Foraminifera",2,2,"Natural","NonMollusk","Non-lake","NonCorals",4,0.624,0.007,14.049,12.1236713,0.02172,0.002,4,NA,"90","","","ICDES","Large","Forams","Planktic"
"11","2018","Peral","Foraminifera","Globoconella","Globoconella inflata","Globoconella","Globoconella inflata","5 Open ocean thermocline","Aze et al 2011","G. inflata 315-355 MD08-3179","C","IPSL","Foraminifera",2,2,"Natural","NonMollusk","Non-lake","NonCorals",4,0.641,0.008,9.307,12.53416235,0.02169,0.002,4,NA,"90","","","ICDES","Large","Forams","Planktic"
"12","2018","Peral","Foraminifera","Globoconella","Globoconella inflata","Globoconella","Globoconella inflata","6 Open ocean thermocline","Aze et al 2011","G. inflata 355-400 MD08-3179","C","IPSL","Foraminifera",2,2,"Natural","NonMollusk","Non-lake","NonCorals",4,0.63,0.004,15.594,11.99427669,0.02232,0.002,4,NA,"90","","","ICDES","Large","Forams","Planktic"
"13","2018","Peral","Foraminifera","Globoconella","Globoconella inflata","Globoconella","Globoconella inflata","7 Open ocean thermocline","Aze et al 2011","G. inflata 400-450 MD08-3179","C","IPSL","Foraminifera",2,2,"Natural","NonMollusk","Non-lake","NonCorals",4,0.623,0.003,14.997,12.04402908,0.02151,0.002,3,NA,"90","","","ICDES","Large","Forams","Planktic"
"14","2018","Peral","Foraminifera","Globoconella","Globoconella inflata","Globoconella","Globoconella inflata","8 Open ocean thermocline","Aze et al 2011","G. inflata 450-500 MD08-3179","C","IPSL","Foraminifera",2,2,"Natural","NonMollusk","Non-lake","NonCorals",3,0.625,0.006,14.933,12.04938103,0.02239,0.002,4,NA,"90","","","ICDES","Large","Forams","Planktic"
"15","2018","Peral","Foraminifera","Globorotalia","Globorotalia menardii","Globorotalia","Globorotalia menardii","3 Open ocean thermocline","Aze et al 2011","Globorotalia menardii MD00-2360","C","IPSL","Foraminifera",2,2,"Natural","NonMollusk","Non-lake","NonCorals",19,0.609,0.003,21.196,11.54207052,0.02248,0.002,19,NA,"90","","","ICDES","Large","Forams","Planktic"
"16","2018","Peral","Foraminifera","Globorotalia","Globorotalia menardii","Globorotalia","Globorotalia menardii","3 Open ocean thermocline","Aze et al 2011","Globorotalia menardii MD02-2577","C","IPSL","Foraminifera",2,2,"Natural","NonMollusk","Non-lake","NonCorals",8,0.611,0.005,19.512,11.67528062,0.02217,0.002,8,NA,"90","","","ICDES","Large","Forams","Planktic"
"17","2018","Peral","Foraminifera","Globorotalia","Globorotalia menardii","Globorotalia","Globorotalia menardii","3 Open ocean thermocline","Aze et al 2011","Globorotalia menardii MD12-3426","C","IPSL","Foraminifera",2,2,"Natural","NonMollusk","Non-lake","NonCorals",8,0.619,0.008,21.051,11.55345058,0.02162,0.002,7,NA,"90","","","ICDES","Large","Forams","Planktic"
"18","2018","Peral","Foraminifera","Globorotalia","Globorotalia truncatulinoides (d.)","Globorotalia","Globorotalia truncatulinoides","4 Open ocean sub-thermocline","Aze et al 2011","Globorotalia truncatulinoides (d.) MD08-3179","C","IPSL","Foraminifera",2,2,"Natural","NonMollusk","Non-lake","NonCorals",16,0.629,0.004,13.039,12.20939448,0.02375,0.002,15,NA,"90","","","ICDES","Large","Forams","Planktic"
"19","2018","Peral","Foraminifera","Globorotalia","Globorotalia truncatulinoides (s.)","Globorotalia","Globorotalia truncatulinoides","4 Open ocean sub-thermocline","Aze et al 2011","Globorotalia truncatulinoides (s.) MD08-3179","C","IPSL","Foraminifera",2,2,"Natural","NonMollusk","Non-lake","NonCorals",12,0.636,0.004,13.039,12.20939448,0.02375,0.002,5,NA,"90","","","ICDES","Large","Forams","Planktic"
