"","Model","alpha","beta"
"1","OLS",0.156794148800209,0.0453213129261546
"2","OLS",0.242586855761044,0.0388049159427513
"3","OLS",0.209667727094399,0.041907848960612
"4","OLS",0.193876047028519,0.0440316213227332
"5","OLS",0.226810237976626,0.0396858857732471
"6","OLS",0.243409777927717,0.0385257459028258
"7","OLS",0.154580629405769,0.0460213596988809
"8","OLS",0.204182184034907,0.0423541096969222
"9","OLS",0.145231407133537,0.0482604285945511
"10","OLS",0.181869915840893,0.0443031684664247
"11","OLS",0.223105888038792,0.0397467809160627
"12","OLS",0.243645675538553,0.0396164828498346
"13","OLS",0.194588061443411,0.0430738403479948
"14","OLS",0.214103226036284,0.040632968808718
"15","OLS",0.210975131806447,0.04226029103884
"16","OLS",0.197384683193654,0.0428013364208468
"17","OLS",0.184967448333407,0.0435196399369475
"18","OLS",0.149429143845065,0.0466583366871039
"19","OLS",0.273750583443204,0.035812613139035
"20","OLS",0.203140093555053,0.0436388266664694
"21","OLS",0.265202398132126,0.0363378383583356
"22","OLS",0.205796786895451,0.0408462225353867
"23","OLS",0.236133300188945,0.039676008064629
"24","OLS",0.191820673035995,0.0447389096852779
"25","OLS",0.233046238089701,0.0397955723116336
"26","OLS",0.173289917473732,0.0462768932384244
"27","OLS",0.212207974016854,0.0407746046365198
"28","OLS",0.213268691101362,0.0415202274106391
"29","OLS",0.248357637242247,0.038300198587484
"30","OLS",0.196212738179277,0.0422507537785084
"31","OLS",0.245464254206999,0.0383662667240434
"32","OLS",0.199390635875793,0.0430206739860982
"33","OLS",0.241585659165529,0.0380343342442159
"34","OLS",0.159912561543894,0.0456874126362847
"35","OLS",0.217845079513328,0.0408477243640012
"36","OLS",0.22246169035379,0.0405451526576174
"37","OLS",0.172372580055592,0.0447881998878525
"38","OLS",0.17319231299565,0.0442016680370031
"39","OLS",0.211510338927812,0.0407432963108287
"40","OLS",0.205044795464115,0.0423445431462665
"41","OLS",0.237135914712663,0.0391724950069987
"42","OLS",0.262940962111664,0.0368423292907694
"43","OLS",0.166068792686308,0.0461989875988255
"44","OLS",0.261023989496647,0.0376158844002325
"45","OLS",0.272813202931606,0.0357381508130318
"46","OLS",0.264997285071577,0.0369222925321901
"47","OLS",0.225130647446523,0.0394293139211365
"48","OLS",0.183816415272404,0.0432350891691422
"49","OLS",0.248219249106486,0.0385643019489664
"50","OLS",0.283326712926941,0.0351621162619627
"51","OLS",0.18580450197976,0.0446548844884123
"52","OLS",0.212335039962652,0.0422342038779626
"53","OLS",0.232532065869045,0.0391309002115981
"54","OLS",0.167009316064648,0.0449226018866005
"55","OLS",0.142414537444821,0.0482792848076856
"56","OLS",0.199133030713961,0.0427764963064064
"57","OLS",0.215818217729033,0.0412845759883808
"58","OLS",0.195085235997198,0.0432115960418056
"59","OLS",0.209394342127195,0.0423528581975305
"60","OLS",0.0985506472459108,0.0519033513796092
"61","OLS",0.226497216046458,0.0392969787711137
"62","OLS",0.234495339944125,0.0387471195337943
"63","OLS",0.251164249338332,0.0388296329235711
"64","OLS",0.236445593157836,0.0393570455742222
"65","OLS",0.211499116228668,0.0415053116014731
"66","OLS",0.191146209856565,0.0428761851191095
"67","OLS",0.256702946553987,0.0372522041622955
"68","OLS",0.176734814595405,0.0434875617075511
"69","OLS",0.293278416144317,0.0364229483237979
"70","OLS",0.27436547258367,0.0369526073098198
"71","OLS",0.204610819804421,0.0424347648573502
"72","OLS",0.20712376874393,0.0409213384613606
"73","OLS",0.224994402971629,0.04044425988742
"74","OLS",0.227440970002091,0.0392047092803152
"75","OLS",0.253836091124189,0.0379214152280242
"76","OLS",0.133474837325843,0.0481469158733066
"77","OLS",0.253532451182489,0.0374362857749579
