"","Model","Sample","D47","D47error","meanTemp","error"
"1","OLS","Test1",0.6,0.005,59.9334444605116,2.4721067070347
"2","OLS","Test2",0.7,0.005,18.9595274712942,1.67170863426747
"3","OLS","Test3",0.8,0.005,-9.85953621651646,1.22610452014197
"4","OLS","Test4",0.6,0.01,59.9334444605116,4.88997495840528
"5","OLS","Test5",0.7,0.01,18.9595274712942,3.31504092585425
"6","OLS","Test6",0.8,0.01,-9.85953621651646,2.4352376866205
"7","OLS","Test7",0.6,0.02,59.9334444605116,9.57071790813899
"8","OLS","Test8",0.7,0.02,18.9595274712942,6.51972097381798
"9","OLS","Test9",0.8,0.02,-9.85953621651646,4.80412942314496
"10","York","Test1",0.6,0.005,60.6617528644445,2.48721894316947
"11","York","Test2",0.7,0.005,19.4644265661866,1.67965263915801
"12","York","Test3",0.8,0.005,-9.47973003062498,1.23088730660595
"13","York","Test4",0.6,0.01,60.6617528644445,4.9196571974378
"14","York","Test5",0.7,0.01,19.4644265661866,3.3307090095177
"15","York","Test6",0.8,0.01,-9.47973003062498,2.44469562185452
"16","York","Test7",0.6,0.02,60.6617528644445,9.6280199531364
"17","York","Test8",0.7,0.02,19.4644265661866,6.55021106712849
"18","York","Test9",0.8,0.02,-9.47973003062498,4.82262821023875
"19","Deming","Test1",0.6,0.005,60.6671096053776,2.48821080977939
"20","Deming","Test2",0.7,0.005,19.456007911413,1.68009950553619
"21","Deming","Test3",0.8,0.005,-9.4946878923887,1.23111257790333
"22","Deming","Test4",0.6,0.01,60.6671096053776,4.92159841794944
"23","Deming","Test5",0.7,0.01,19.456007911413,3.33158679681793
"24","Deming","Test6",0.8,0.01,-9.4946878923887,2.44513898101542
"25","Deming","Test7",0.6,0.02,60.6671096053776,9.63174129398334
"26","Deming","Test8",0.7,0.02,19.456007911413,6.55190553964127
"27","Deming","Test9",0.8,0.02,-9.4946878923887,4.82348721074641
"28","WOLS","Test1",0.6,0.005,60.005406968235,2.47655224540176
"29","WOLS","Test2",0.7,0.005,18.9686942079854,1.6737995017225
"30","WOLS","Test3",0.8,0.005,-9.88164046363823,1.22721772917652
"31","WOLS","Test4",0.6,0.01,60.005406968235,4.89868380344751
"32","WOLS","Test5",0.7,0.01,18.9686942079854,3.31915291852272
"33","WOLS","Test6",0.8,0.01,-9.88164046363823,2.43743200132508
"34","WOLS","Test7",0.6,0.02,60.005406968235,9.58744437002611
"35","WOLS","Test8",0.7,0.02,18.9686942079854,6.52767743974107
"36","WOLS","Test9",0.8,0.02,-9.88164046363823,4.80839404126579
"37","BayesianBLM1","Test1",0.6,0.005,59.8376595118786,2.47122121067753
"38","BayesianBLM1","Test2",0.7,0.005,18.8927830373323,1.73611503208437
"39","BayesianBLM1","Test3",0.8,0.005,-9.95986387531889,1.29017757175957
"40","BayesianBLM1","Test4",0.6,0.01,59.8002934834376,5.21401320560163
"41","BayesianBLM1","Test5",0.7,0.01,19.2366931273256,3.33453368744814
"42","BayesianBLM1","Test6",0.8,0.01,-9.75898668397826,2.29320598652082
"43","BayesianBLM1","Test7",0.6,0.02,61.3558547863028,9.70279568597785
"44","BayesianBLM1","Test8",0.7,0.02,18.1175065985897,6.77037866714655
"45","BayesianBLM1","Test9",0.8,0.02,-11.1444683434121,5.18345917378395
"46","BayesianBLM1_NoErrors","Test1",0.6,0.005,59.9311551650634,2.57243368628266
"47","BayesianBLM1_NoErrors","Test2",0.7,0.005,18.9793742116797,1.77398998758594
"48","BayesianBLM1_NoErrors","Test3",0.8,0.005,-9.85069281062923,1.19579999661372
"49","BayesianBLM1_NoErrors","Test4",0.6,0.01,59.8444888783456,4.51005756144824
"50","BayesianBLM1_NoErrors","Test5",0.7,0.01,19.8623578770441,3.36058564979049
"51","BayesianBLM1_NoErrors","Test6",0.8,0.01,-9.97040514870121,2.50442382283213
"52","BayesianBLM1_NoErrors","Test7",0.6,0.02,60.2999887488723,11.0302204351691
"53","BayesianBLM1_NoErrors","Test8",0.7,0.02,19.4563244374026,5.56562839623882
"54","BayesianBLM1_NoErrors","Test9",0.8,0.02,-9.89816197759042,5.24547787269508
"55","infTempBayesianBLM3","Test1",0.6,0.005,60.1049564477279,2.41570486738107
"56","infTempBayesianBLM3","Test2",0.7,0.005,18.815020899629,1.80720087003702
"57","infTempBayesianBLM3","Test3",0.8,0.005,-9.91888734752308,1.14690908875045
"58","infTempBayesianBLM3","Test4",0.6,0.01,59.9117307903718,4.52070782308965
"59","infTempBayesianBLM3","Test5",0.7,0.01,18.4384132234897,3.17343569822512
"60","infTempBayesianBLM3","Test6",0.8,0.01,-10.0039682226655,2.50765133957787
"61","infTempBayesianBLM3","Test7",0.6,0.02,57.8418615401577,8.72710905011816
"62","infTempBayesianBLM3","Test8",0.7,0.02,19.5052678839027,6.23048167315694
"63","infTempBayesianBLM3","Test9",0.8,0.02,-9.6395848087459,4.31787221565262
