"","Model","Sample","D47","D47error","meanTemp","error"
"1","OLS","Test1",0.6,0.005,59.9157552289609,2.4912017478311
"2","OLS","Test2",0.7,0.005,18.6791294233852,1.68010213846622
"3","OLS","Test3",0.8,0.005,-10.2611213517437,1.23019149495758
"4","OLS","Test4",0.6,0.01,59.9157552289609,4.92732723959017
"5","OLS","Test5",0.7,0.01,18.6791294233852,3.33151667091397
"6","OLS","Test6",0.8,0.01,-10.2611213517437,2.44327297582146
"7","OLS","Test7",0.6,0.02,59.9157552289609,9.64224902052609
"8","OLS","Test8",0.7,0.02,18.6791294233852,6.55148032517241
"9","OLS","Test9",0.8,0.02,-10.2611213517437,4.81966529221427
"10","York","Test1",0.6,0.005,61.2038867156401,2.5021957746867
"11","York","Test2",0.7,0.005,19.7890763824458,1.68719774714106
"12","York","Test3",0.8,0.005,-9.27174027953737,1.23524113742656
"13","York","Test4",0.6,0.01,61.2038867156401,4.94904260853502
"14","York","Test5",0.7,0.01,19.7890763824458,3.34557481730133
"15","York","Test6",0.8,0.01,-9.27174027953737,2.45329624132097
"16","York","Test7",0.6,0.02,61.2038867156401,9.68463226772838
"17","York","Test8",0.7,0.02,19.7890763824458,6.57908046637891
"18","York","Test9",0.8,0.02,-9.27174027953737,4.83941519241563
"19","Deming","Test1",0.6,0.005,61.1835830781632,2.50151243171717
"20","Deming","Test2",0.7,0.005,19.7785984480378,1.68686161607383
"21","Deming","Test3",0.8,0.005,-9.27707660898,1.23505204893604
"22","Deming","Test4",0.6,0.01,61.1835830781632,4.94770261727302
"23","Deming","Test5",0.7,0.01,19.7785984480378,3.34491295351796
"24","Deming","Test6",0.8,0.01,-9.27707660898,2.45292295694662
"25","Deming","Test7",0.6,0.02,61.1835830781632,9.68205361640486
"26","Deming","Test8",0.7,0.02,19.7785984480378,6.57779666449159
"27","Deming","Test9",0.8,0.02,-9.27707660898,4.83868754537531
"28","WOLS","Test1",0.6,0.005,59.8129247660812,2.48497195131188
"29","WOLS","Test2",0.7,0.005,18.6641943831779,1.67717935234288
"30","WOLS","Test3",0.8,0.005,-10.2323657614909,1.22863691780344
"31","WOLS","Test4",0.6,0.01,59.8129247660812,4.91512406869219
"32","WOLS","Test5",0.7,0.01,18.6641943831779,3.32576881236969
"33","WOLS","Test6",0.8,0.01,-10.2323657614909,2.44020868713972
"34","WOLS","Test7",0.6,0.02,59.8129247660812,9.61881505644101
"35","WOLS","Test8",0.7,0.02,18.6641943831779,6.5403593633709
"36","WOLS","Test9",0.8,0.02,-10.2323657614909,4.81371000882325
"37","BayesianBLM1","Test1",0.6,0.005,50.1406974282995,1.99546854183467
"38","BayesianBLM1","Test2",0.7,0.005,21.2410777460782,1.42855515005393
"39","BayesianBLM1","Test3",0.8,0.005,-1.11168206931021,1.19911585602709
"40","BayesianBLM1","Test4",0.6,0.01,39.7989975184423,2.61090640552776
"41","BayesianBLM1","Test5",0.7,0.01,24.173615042401,2.22487235268635
"42","BayesianBLM1","Test6",0.8,0.01,10.8739677662261,2.04406952967465
"43","BayesianBLM1","Test7",0.6,0.02,32.227751035359,2.79685552098966
"44","BayesianBLM1","Test8",0.7,0.02,26.9209796930858,2.83867573237786
"45","BayesianBLM1","Test9",0.8,0.02,21.7182019495029,2.64125148362948
"46","BayesianBLM1_NoErrors","Test1",0.6,0.005,50.0450019214935,1.95793245761425
"47","BayesianBLM1_NoErrors","Test2",0.7,0.005,21.1290334156264,1.45636804777951
"48","BayesianBLM1_NoErrors","Test3",0.8,0.005,-1.22011909640386,1.18858269413817
"49","BayesianBLM1_NoErrors","Test4",0.6,0.01,39.775388369582,2.57869466051597
"50","BayesianBLM1_NoErrors","Test5",0.7,0.01,24.3693008168004,2.35978981533265
"51","BayesianBLM1_NoErrors","Test6",0.8,0.01,10.9881095500186,1.94045501101695
"52","BayesianBLM1_NoErrors","Test7",0.6,0.02,32.6037521457543,2.80120849347861
"53","BayesianBLM1_NoErrors","Test8",0.7,0.02,26.9612280899745,2.74428866532206
"54","BayesianBLM1_NoErrors","Test9",0.8,0.02,21.769937775851,2.5245851591272
"55","infTempBayesianBLM3","Test1",0.6,0.005,50.2611402388084,1.91625403561802
"56","infTempBayesianBLM3","Test2",0.7,0.005,21.153581324418,1.53578901258551
"57","infTempBayesianBLM3","Test3",0.8,0.005,-1.08436906052958,1.15123702105066
"58","infTempBayesianBLM3","Test4",0.6,0.01,39.8596170406241,2.76419899888759
"59","infTempBayesianBLM3","Test5",0.7,0.01,24.5642981007097,2.23560895730094
"60","infTempBayesianBLM3","Test6",0.8,0.01,11.0883418246928,2.06890941399723
"61","infTempBayesianBLM3","Test7",0.6,0.02,32.8730434292655,2.82063856040078
"62","infTempBayesianBLM3","Test8",0.7,0.02,26.8264842062121,2.64097518118333
"63","infTempBayesianBLM3","Test9",0.8,0.02,21.8692907509225,2.54893849859275
