"","Model","alpha","beta"
"1","OLS",0.267239648552375,0.0367449258511421
"2","OLS",0.276689866015447,0.0362550721030096
"3","OLS",0.270505910166571,0.0363932649074676
"4","OLS",0.264772701701364,0.0370999009058336
"5","OLS",0.271297812908496,0.0366802585294211
"6","OLS",0.265079071597348,0.0366075834992465
"7","OLS",0.279489767384671,0.0357683269589112
"8","OLS",0.255699794073428,0.0380857126564311
"9","OLS",0.270056936502043,0.0364669265589845
"10","OLS",0.281541061030205,0.0355678529743161
"11","OLS",0.279263439309863,0.0358516482495614
"12","OLS",0.266853055115861,0.0370435283679878
"13","OLS",0.259316506044516,0.0374858022069931
"14","OLS",0.265542257167041,0.0371275076416305
"15","OLS",0.26534811300774,0.0368235359765809
"16","OLS",0.264292483197005,0.0368118973888534
"17","OLS",0.267406523799396,0.0367726949850873
"18","OLS",0.272327352182867,0.0362773861680954
"19","OLS",0.260365679772462,0.0374525471959299
"20","OLS",0.26263094700842,0.03725479855801
"21","OLS",0.262725707413939,0.0374517078447554
"22","OLS",0.262867254384343,0.0373110570859882
"23","OLS",0.277327972451815,0.0360622460707923
"24","OLS",0.270146176347923,0.0364110943031291
"25","OLS",0.273522207618648,0.0362598980632794
"26","OLS",0.269248343758698,0.036310917318142
"27","OLS",0.267331472194573,0.0368821890097142
"28","OLS",0.270022605266734,0.0367449047974159
"29","OLS",0.275308568999013,0.0360298658080759
"30","OLS",0.273273951795149,0.0363863780188425
"31","OLS",0.274471659328736,0.03596139214701
"32","OLS",0.273459311099903,0.0359596992019095
"33","OLS",0.26173574757946,0.0376281799324912
"34","OLS",0.270410142304941,0.0365293745265082
"35","OLS",0.272547869227658,0.0365237257567905
"36","OLS",0.269573259417033,0.0367679930837484
"37","OLS",0.272419316349437,0.036368286745356
"38","OLS",0.271679522214476,0.0365734298251701
"39","OLS",0.253135480875511,0.0381617701306246
"40","OLS",0.278027652754091,0.0358906364460407
"41","OLS",0.257843567369565,0.0378361934188811
"42","OLS",0.27613907984635,0.0359414645968256
"43","OLS",0.271063385706249,0.036772467403328
"44","OLS",0.261492766609869,0.0373908316127887
"45","OLS",0.266054711542212,0.0371261090285903
"46","OLS",0.276023722705271,0.0358571688811056
"47","OLS",0.28876152276977,0.0349194808995763
"48","OLS",0.275175916765153,0.0362878199406131
"49","OLS",0.261444221507441,0.0371549094010635
"50","OLS",0.271542786656812,0.0366065936107871
"51","OLS",0.269746238296068,0.0368160798331369
"52","OLS",0.273076357615969,0.0364438544868991
"53","OLS",0.262026866086132,0.0372700728101305
"54","OLS",0.271881505009734,0.0365921813229026
"55","OLS",0.275604070268271,0.0363702432675352
"56","OLS",0.265940971538486,0.0368495152372939
"57","OLS",0.280698080140472,0.0358295988684541
"58","OLS",0.272381086980892,0.0361488142364751
"59","OLS",0.279764042692255,0.0357022420275949
"60","OLS",0.264683760698326,0.0368935298115428
"61","OLS",0.267429785575186,0.036719937821385
"62","OLS",0.276174942403159,0.0359835391370296
"63","OLS",0.262658638079523,0.0374593109095093
"64","OLS",0.284398230018681,0.0355109602578392
"65","OLS",0.261935466909332,0.0374592187777804
"66","OLS",0.280007557249234,0.035855886776707
"67","OLS",0.269031318477514,0.0364716818938953
"68","OLS",0.259790071557617,0.0376905206172309
"69","OLS",0.262332799893587,0.0374973210649356
"70","OLS",0.264787061182479,0.0369045405106717
"71","OLS",0.264362871718099,0.0369875012766796
"72","OLS",0.285778483361052,0.0351858647094331
"73","OLS",0.276012843714691,0.0360338456215849
"74","OLS",0.278102315002473,0.0359616700291394
"75","OLS",0.288756953762956,0.0349570538491519
"76","OLS",0.271710101817121,0.0362127530370736
"77","OLS",0.283709758665872,0.035440737215851
"78","OLS",0.28464201130547,0.0354354119995866
"79","OLS",0.26576729636787,0.0368935817542652
"80","OLS",0.267714867985515,0.0367208381200628
"81","OLS",0.257416460490609,0.0376049930492838
"82","OLS",0.261897225467067,0.0376272743821247
"83","OLS",0.265824329795894,0.0368712197145395
"84","OLS",0.269545088997626,0.0368474904006861
"85","OLS",0.276413737074307,0.0359686624378123
"86","OLS",0.270141686821498,0.0368653798212475
"87","OLS",0.272876691017462,0.0361748873417011
"88","OLS",0.274863221023229,0.0363770233969943
"89","OLS",0.281775517645571,0.035339229096093
"90","OLS",0.264126421623588,0.0368407926619051
"91","OLS",0.275316944579454,0.0359445526536529
"92","OLS",0.278888866425667,0.0359645513715072
"93","OLS",0.254799286241543,0.0379186409444774
"94","OLS",0.267590653154876,0.0367354264091738
"95","OLS",0.267032029823715,0.0365741177716761
"96","OLS",0.256619200569045,0.0379514962871817
"97","OLS",0.280921773102091,0.0355561476924689
"98","OLS",0.262128899865903,0.0373337659777625
"99","OLS",0.271512324850166,0.0367321446696508
"100","OLS",0.273713099919281,0.0363215278454442
"101","OLS",0.258917078283001,0.0379105887072119
"102","OLS",0.270775733485843,0.0363554335061515
"103","OLS",0.260502199125551,0.0372476083549378
"104","OLS",0.277157914549895,0.0360061773050254
"105","OLS",0.263961726869881,0.037349671554301
"106","OLS",0.280096386616042,0.0356569861379676
"107","OLS",0.259981286391382,0.0374376224056624
"108","OLS",0.267748227767618,0.0369120702825811
"109","OLS",0.261988805094349,0.0375859130946767
"110","OLS",0.260155646781553,0.0375259795015582
"111","OLS",0.274002966900828,0.0363802187178126
"112","OLS",0.270787869542581,0.0365141763178521
"113","OLS",0.274724596788357,0.0363336719779268
"114","OLS",0.269322333868808,0.0365942910179172
"115","OLS",0.262274692552461,0.0372808929186128
"116","OLS",0.271792341245765,0.0364015961827445
"117","OLS",0.263539816076386,0.0370845326112909
"118","OLS",0.264902440775846,0.0371027389359557
"119","OLS",0.263892167528002,0.0372271513237308
"120","OLS",0.277821122357415,0.0357320254382641
"121","OLS",0.286582186240444,0.0351651687127474
"122","OLS",0.268478006349663,0.0366800346021793
"123","OLS",0.263835810394254,0.0367953152784515
"124","OLS",0.272527660473886,0.0365100065110443
"125","OLS",0.268551153350273,0.0370267559751989
"126","OLS",0.268264517037275,0.0369495934876603
"127","OLS",0.263876266050533,0.0370618197444508
"128","OLS",0.254219953417365,0.0382893894856161
"129","OLS",0.271324072224865,0.0368239020658821
"130","OLS",0.280799220742071,0.0353556359555001
"131","OLS",0.2718243050916,0.0365490888840709
"132","OLS",0.269866449274194,0.0367676306327831
"133","OLS",0.268708340094483,0.036887750342315
"134","OLS",0.274773399700391,0.0362194408054868
"135","OLS",0.274894583799211,0.036436529038697
"136","OLS",0.266071008582112,0.0368339152767108
"137","OLS",0.258651077010791,0.0378376841988052
"138","OLS",0.260404112778217,0.0374792688955341
"139","OLS",0.262207628035741,0.0373723608941661
"140","OLS",0.286317897587492,0.0350285148631869
"141","OLS",0.272466822213907,0.0361645298101514
"142","OLS",0.26631670988882,0.0370982812301651
"143","OLS",0.262717213720237,0.0373655352555713
"144","OLS",0.276053891872674,0.0361395121731972
"145","OLS",0.265692551316158,0.0372366709720858
"146","OLS",0.279362472067796,0.035920364577352
"147","OLS",0.257721732312468,0.0377409061289288
"148","OLS",0.254397340325234,0.0378070476629185
"149","OLS",0.28590041029492,0.0350689464395889
"150","OLS",0.262072757822812,0.0372687081937679
"151","OLS",0.269839328065891,0.0369351018884642
"152","OLS",0.277235389918589,0.0360354682364635
"153","OLS",0.280747609390636,0.0357521467468747
"154","OLS",0.272592595641129,0.0365258625099687
"155","OLS",0.261408781770188,0.0373527633554037
"156","OLS",0.269544902753465,0.0368290293662346
"157","OLS",0.290145855908148,0.0348507234426079
"158","OLS",0.282114632914016,0.0356947050302438
"159","OLS",0.25526641287385,0.038050786467893
"160","OLS",0.262642879668221,0.0375605179933694
"161","OLS",0.260090373926699,0.0375535442872033
"162","OLS",0.270523619362009,0.0367150131067605
"163","OLS",0.267737735717253,0.0366393708018678
"164","OLS",0.267246143542101,0.0367644726945355
"165","OLS",0.281517524157822,0.0356530261002254
"166","OLS",0.275595486436494,0.0360913284517751
"167","OLS",0.260138356535046,0.0378216946861198
"168","OLS",0.274068759636099,0.0363694359165324
"169","OLS",0.27022676527603,0.0364827517044557
"170","OLS",0.24424250763311,0.0389790493390561
"171","OLS",0.27290917002296,0.0361730605113698
"172","OLS",0.281705290010436,0.0355746633217453
"173","OLS",0.269939661945133,0.0364229183690958
"174","OLS",0.260919520937745,0.0374531578226206
