"","Type","Model","D47","D47se","Tc","se","Tc","se"
"1","Classic","OLS",0.6,0.005,59.5469569035211,2.44810743086805,NA,NA
"2","Classic","OLS",0.7,0.005,18.9124870916297,1.66038862799877,NA,NA
"3","Classic","OLS",0.8,0.005,-9.73713746564016,1.22006691046209,NA,NA
"4","Classic","OLS",0.6,0.01,59.5469569035211,4.84295594225586,NA,NA
"5","Classic","OLS",0.7,0.01,18.9124870916297,3.29277731239989,NA,NA
"6","Classic","OLS",0.8,0.01,-9.73713746564016,2.42333617134199,NA,NA
"7","Classic","OLS",0.6,0.02,59.5469569035211,9.48039630818579,NA,NA
"8","Classic","OLS",0.7,0.02,18.9124870916297,6.47663776722101,NA,NA
"9","Classic","OLS",0.8,0.02,-9.73713746564016,4.78099745734977,NA,NA
"10","Classic","York",0.6,0.005,59.1236025491633,2.42257631523552,NA,NA
"11","Classic","York",0.7,0.005,18.8513949755142,1.64825835923955,NA,NA
"12","Classic","York",0.8,0.005,-9.61619945245042,1.2135589875582,NA,NA
"13","Classic","York",0.6,0.01,59.1236025491633,4.79292539817953,NA,NA
"14","Classic","York",0.7,0.01,18.8513949755142,3.26891642449584,NA,NA
"15","Classic","York",0.8,0.01,-9.61619945245042,2.41050579162567,NA,NA
"16","Classic","York",0.6,0.02,59.1236025491633,9.38425140154413,NA,NA
"17","Classic","York",0.7,0.02,18.8513949755142,6.4304496936262,NA,NA
"18","Classic","York",0.8,0.02,-9.61619945245042,4.75605337076217,NA,NA
"19","Classic","Deming",0.6,0.005,59.5469569213579,2.44810743201469,NA,NA
"20","Classic","Deming",0.7,0.005,18.9124870932437,1.66038862853998,NA,NA
"21","Classic","Deming",0.8,0.005,-9.73713747212457,1.22006691075063,NA,NA
"22","Classic","Deming",0.6,0.01,59.5469569213579,4.84295594450214,NA,NA
"23","Classic","Deming",0.7,0.01,18.9124870932437,3.29277731346383,NA,NA
"24","Classic","Deming",0.8,0.01,-9.73713747212457,2.42333617191082,NA,NA
"25","Classic","Deming",0.6,0.02,59.5469569213579,9.48039631250083,NA,NA
"26","Classic","Deming",0.7,0.02,18.9124870932437,6.47663776928056,NA,NA
"27","Classic","Deming",0.8,0.02,-9.73713747212457,4.78099745845492,NA,NA
"28","Classic","WOLS",0.6,0.005,59.5469569216824,2.44810743203482,NA,NA
"29","Classic","WOLS",0.7,0.005,18.9124870932731,1.6603886285497,NA,NA
"30","Classic","WOLS",0.8,0.005,-9.73713747224264,1.22006691075603,NA,NA
"31","Classic","WOLS",0.6,0.01,59.5469569216824,4.84295594454261,NA,NA
"32","Classic","WOLS",0.7,0.01,18.9124870932731,3.29277731348327,NA,NA
"33","Classic","WOLS",0.8,0.01,-9.73713747224264,2.42333617192122,NA,NA
"34","Classic","WOLS",0.6,0.02,59.5469569216824,9.4803963125791,NA,NA
"35","Classic","WOLS",0.7,0.02,18.9124870932731,6.47663776931807,NA,NA
"36","Classic","WOLS",0.8,0.02,-9.73713747224264,4.78099745847487,NA,NA
"37","BayClump","Deming",0.6,0.005,59.8384536801529,3.14902828053947,NA,NA
"38","BayClump","Deming",0.7,0.005,18.0509846727209,2.09767710454304,NA,NA
"39","BayClump","Deming",0.8,0.005,-9.77401182026857,1.55101377063532,NA,NA
"40","BayClump","Deming",0.6,0.01,61.2112304869418,3.18862804439176,NA,NA
"41","BayClump","Deming",0.7,0.01,17.7246555193307,2.0905879187204,NA,NA
"42","BayClump","Deming",0.8,0.01,-10.7894592154328,1.53320361574577,NA,NA
"43","BayClump","Deming",0.6,0.02,57.3086560008692,3.07693021926423,NA,NA
"44","BayClump","Deming",0.7,0.02,20.7804555394192,2.15762274683596,NA,NA
"45","BayClump","Deming",0.8,0.02,-4.81732634579839,1.64005535900229,NA,NA
"46","BayClump","OLS",0.6,0.005,59.5487579483335,3.13598927375695,NA,NA
"47","BayClump","OLS",0.7,0.005,17.7225523956362,2.09052860743829,NA,NA
