"","Model","Sample","D47","D47error","meanTemp","error"
"1","OLS","Test1",0.6,0.005,54.2230557851877,1.06483091190481
"2","OLS","Test2",0.7,0.005,18.1766331087219,0.751923157479212
"3","OLS","Test3",0.8,0.005,-8.09859245811487,0.567024657497853
"4","OLS","Test4",0.6,0.01,54.2230557851877,2.10914743376506
"5","OLS","Test5",0.7,0.01,18.1766331087219,1.4923208316186
"6","OLS","Test6",0.8,0.01,-8.09859245811487,1.12683282867505
"7","OLS","Test7",0.6,0.02,54.2230557851877,4.13881019647917
"8","OLS","Test8",0.7,0.02,18.1766331087219,2.93969535728249
"9","OLS","Test9",0.8,0.02,-8.09859245811487,2.2254024219483
"10","York","Test1",0.6,0.005,54.7911708894939,1.0920749285705
"11","York","Test2",0.7,0.005,17.9547192003493,0.765475780237722
"12","York","Test3",0.8,0.005,-8.73166818090425,0.574456573200109
"13","York","Test4",0.6,0.01,54.7911708894939,2.16261626255704
"14","York","Test5",0.7,0.01,17.9547192003493,1.51900005196163
"15","York","Test6",0.8,0.01,-8.73166818090425,1.14148949323939
"16","York","Test7",0.6,0.02,54.7911708894939,4.24186079588077
"17","York","Test8",0.7,0.02,17.9547192003493,2.99141428207815
"18","York","Test9",0.8,0.02,-8.73166818090425,2.25391378181206
"19","Deming","Test1",0.6,0.005,54.7538525628885,1.08987365230979
"20","Deming","Test2",0.7,0.005,17.9808972339919,0.764394340262584
"21","Deming","Test3",0.8,0.005,-8.67285187129301,0.57387087391848
"22","Deming","Test4",0.6,0.01,54.7538525628885,2.15829745573484
"23","Deming","Test5",0.7,0.01,17.9808972339919,1.51687180299317
"24","Deming","Test6",0.8,0.01,-8.67285187129301,1.1403347932206
"25","Deming","Test7",0.6,0.02,54.7538525628885,4.23354237887088
"26","Deming","Test8",0.7,0.02,17.9808972339919,2.98729099773203
"27","Deming","Test9",0.8,0.02,-8.67285187129301,2.25166899934652
"28","WOLS","Test1",0.6,0.005,53.2546080348758,1.0415573334831
"29","WOLS","Test2",0.7,0.005,17.8949133848209,0.739853212478465
"30","WOLS","Test3",0.8,0.005,-8.00722530394734,0.560102729715851
"31","WOLS","Test4",0.6,0.01,53.2546080348758,2.06342420303278
"32","WOLS","Test5",0.7,0.01,17.8949133848209,1.46853546511673
"33","WOLS","Test6",0.8,0.01,-8.00722530394734,1.11316576503609
"34","WOLS","Test7",0.6,0.02,53.2546080348758,4.05051094892386
"35","WOLS","Test8",0.7,0.02,17.8949133848209,2.89349073811451
"36","WOLS","Test9",0.8,0.02,-8.00722530394734,2.1987534943234
"37","BayesianBLM1","Test1",0.6,0.005,54.3268444601787,0.418156947046684
"38","BayesianBLM1","Test2",0.7,0.005,18.7672439385907,0.255225253619852
"39","BayesianBLM1","Test3",0.8,0.005,-7.94675022558033,0.204874313657191
"40","BayesianBLM1","Test4",0.6,0.01,51.2409277049518,0.41354322582553
"41","BayesianBLM1","Test5",0.7,0.01,18.7504824861666,0.266662108585563
"42","BayesianBLM1","Test6",0.8,0.01,-6.01861063407704,0.223173833011449
"43","BayesianBLM1","Test7",0.6,0.02,57.6075633247826,0.51671613026865
"44","BayesianBLM1","Test8",0.7,0.02,15.5663899076147,0.32084369128695
"45","BayesianBLM1","Test9",0.8,0.02,-7.76976131986626,0.251073743107512
"46","BayesianBLM1_NoErrors","Test1",0.6,0.005,55.7253630352981,0.453411273392182
"47","BayesianBLM1_NoErrors","Test2",0.7,0.005,18.1565792666366,0.282357253672548
"48","BayesianBLM1_NoErrors","Test3",0.8,0.005,-8.59199347262343,0.219697098387055
"49","BayesianBLM1_NoErrors","Test4",0.6,0.01,54.713454945148,0.461165563083816
"50","BayesianBLM1_NoErrors","Test5",0.7,0.01,17.89726673612,0.287840082888699
"51","BayesianBLM1_NoErrors","Test6",0.8,0.01,-7.55770913116688,0.229905329028738
"52","BayesianBLM1_NoErrors","Test7",0.6,0.02,62.0979231109494,0.561270783680904
"53","BayesianBLM1_NoErrors","Test8",0.7,0.02,21.3912708210334,0.344143499482363
"54","BayesianBLM1_NoErrors","Test9",0.8,0.02,-6.59154593569962,0.264521089565105
"55","infTempBayesianBLM3","Test1",0.6,0.005,56.3800860858476,0.455829368598711
"56","infTempBayesianBLM3","Test2",0.7,0.005,18.1240600929388,0.286629717616573
"57","infTempBayesianBLM3","Test3",0.8,0.005,-8.47021712481337,0.223321949947038
"58","infTempBayesianBLM3","Test4",0.6,0.01,54.7023181828001,0.477353501504859
"59","infTempBayesianBLM3","Test5",0.7,0.01,18.4698742434301,0.296765852847769
"60","infTempBayesianBLM3","Test6",0.8,0.01,-8.29718114477843,0.230981566815259
"61","infTempBayesianBLM3","Test7",0.6,0.02,53.1987378841124,0.524971014791828
"62","infTempBayesianBLM3","Test8",0.7,0.02,20.1995651032923,0.34477869479418
"63","infTempBayesianBLM3","Test9",0.8,0.02,-6.03948397935478,0.291049459333527
