"","Model","D47","D47PredErr","Tc","sd","Material"
"1","BLM1_fit",0.6,0.005,59.0855924892216,2.52768378068817,NA
"2","BLM1_fit",0.7,0.005,18.7253489076345,1.67939722503672,NA
"3","BLM1_fit",0.8,0.005,-9.74913632797891,1.28571473761451,NA
"4","BLM1_fit",0.6,0.01,59.2333157937189,4.99054234968752,NA
"5","BLM1_fit",0.7,0.01,18.8029437659878,3.37262978405747,NA
"6","BLM1_fit",0.8,0.01,-9.6871937024433,2.38412195521991,NA
"7","BLM1_fit",0.6,0.02,59.5508648950555,9.87094724924805,NA
"8","BLM1_fit",0.7,0.02,19.0394451874211,6.78328977470391,NA
"9","BLM1_fit",0.8,0.02,-9.749092586757,4.95818182240328,NA
"10","BLM1_fit_NoErrors",0.6,0.005,59.0981443868514,2.51689183367138,NA
"11","BLM1_fit_NoErrors",0.7,0.005,18.7358484623445,1.68183223481998,NA
"12","BLM1_fit_NoErrors",0.8,0.005,-9.67134674210878,1.22762245470861,NA
"13","BLM1_fit_NoErrors",0.6,0.01,59.2963757619848,4.8476898883292,NA
"14","BLM1_fit_NoErrors",0.7,0.01,18.7600333148667,3.29584650350704,NA
"15","BLM1_fit_NoErrors",0.8,0.01,-9.7031806608583,2.51816415168913,NA
"16","BLM1_fit_NoErrors",0.6,0.02,59.384106563624,9.90935739291751,NA
"17","BLM1_fit_NoErrors",0.7,0.02,19.0427527344619,6.7043011221723,NA
"18","BLM1_fit_NoErrors",0.8,0.02,-9.53029272299162,4.92685492279398,NA
"19","BLM3",0.6,0.005,59.0885125481113,2.508341491909,1
"20","BLM3",0.7,0.005,18.7876359630848,1.68148125254708,1
"21","BLM3",0.8,0.005,-9.69030804598536,1.24526359754399,1
"22","BLM3",0.6,0.01,59.3024192553444,4.91794794352683,1
"23","BLM3",0.7,0.01,18.8570177275763,3.37440661439015,1
"24","BLM3",0.8,0.01,-9.66519190911285,2.46542611605457,1
"25","BLM3",0.6,0.02,59.4158061403419,9.79947900448961,1
"26","BLM3",0.7,0.02,18.9901238015315,6.65246788374277,1
"27","BLM3",0.8,0.02,-9.59161558701014,4.95833161533605,1
"28","OLS",0.6,0.005,59.0537739213903,2.42441762878775,NA
"29","OLS",0.7,0.005,18.7574227749329,1.64896559233438,NA
"30","OLS",0.8,0.005,-9.71951666327607,1.2138264683407,NA
"31","OLS",0.6,0.01,59.0537739213903,4.79651833705884,NA
"32","OLS",0.7,0.01,18.7574227749329,3.27029853884113,NA
"33","OLS",0.8,0.01,-9.71951666327607,2.41102700412978,NA
"34","OLS",0.6,0.02,59.0537739213903,9.39109789871787,NA
"35","OLS",0.7,0.02,18.7574227749329,6.43309025085068,NA
"36","OLS",0.8,0.02,-9.71951666327607,4.75704292358233,NA
"37","York",0.6,0.005,58.2741787432481,2.37449755392925,NA
"38","York",0.7,0.005,18.6877182442123,1.62514016567792,NA
"39","York",0.8,0.005,-9.43143374549192,1.20102887475952,NA
"40","York",0.6,0.01,58.2741787432481,4.69867920564889,NA
"41","York",0.7,0.01,18.6877182442123,3.22342975876791,NA
"42","York",0.8,0.01,-9.43143374549192,2.38579660561101,NA
"43","York",0.6,0.02,58.2741787432481,9.20301958802355,NA
"44","York",0.7,0.02,18.6877182442123,6.34235493637652,NA
"45","York",0.8,0.02,-9.43143374549192,4.70799199370111,NA
"46","Deming",0.6,0.005,59.0537738837184,2.42441762650492,NA
"47","Deming",0.7,0.005,18.7574227696871,1.64896559124753,NA
"48","Deming",0.8,0.005,-9.71951665220183,1.21382646775714,NA
"49","Deming",0.6,0.01,59.0537738837184,4.79651833258464,NA
"50","Deming",0.7,0.01,18.7574227696871,3.27029853670285,NA
"51","Deming",0.8,0.01,-9.71951665220183,2.4110270029787,NA
"52","Deming",0.6,0.02,59.0537738837184,9.39109789011826,NA
"53","Deming",0.7,0.02,18.7574227696871,6.43309024671106,NA
"54","Deming",0.8,0.02,-9.71951665220183,4.75704292134458,NA
"55","WOLS",0.6,0.005,59.0537739517596,2.4244176304457,NA
"56","WOLS",0.7,0.005,18.7574227816955,1.64896559312888,NA
"57","WOLS",0.8,0.005,-9.71951666847906,1.21382646877095,NA
"58","WOLS",0.6,0.01,59.0537739517596,4.79651834030852,NA
"59","WOLS",0.7,0.01,18.7574227816955,3.27029854040404,NA
"60","WOLS",0.8,0.01,-9.71951666847906,2.41102700497794,NA
"61","WOLS",0.6,0.02,59.0537739517596,9.39109790496491,NA
"62","WOLS",0.7,0.02,18.7574227816955,6.4330902538772,NA
"63","WOLS",0.8,0.02,-9.71951666847906,4.7570429252321,NA
