"","Model","Sample","D47","D47error","meanTemp","error"
"1","OLS","Test1",0.6,0.005,59.93781076253,2.47279113716348
"2","OLS","Test2",0.7,0.005,18.9543625366422,1.67201902636162
"3","OLS","Test3",0.8,0.005,-9.86925658962997,1.22626213134623
"4","OLS","Test4",0.6,0.01,59.93781076253,4.89131470195252
"5","OLS","Test5",0.7,0.01,18.9543625366422,3.31565073492516
"6","OLS","Test6",0.8,0.01,-9.86925658962997,2.43554794469441
"7","OLS","Test7",0.6,0.02,59.93781076253,9.57328702812254
"8","OLS","Test8",0.7,0.02,18.9543625366422,6.5208985270387
"9","OLS","Test9",0.8,0.02,-9.86925658962997,4.80473078044014
"10","York","Test1",0.6,0.005,60.6571046041721,2.48773349939148
"11","York","Test2",0.7,0.005,19.4527860204751,1.67987151642694
"12","York","Test3",0.8,0.005,-9.49447239084617,1.23098874567052
"13","York","Test4",0.6,0.01,60.6571046041721,4.9206630557955
"14","York","Test5",0.7,0.01,19.4527860204751,3.33113822798992
"15","York","Test6",0.8,0.01,-9.49447239084617,2.44489475157178
"16","York","Test7",0.6,0.02,60.6571046041721,9.62994363494244
"17","York","Test8",0.7,0.02,19.4527860204751,6.55103683199064
"18","York","Test9",0.8,0.02,-9.49447239084617,4.8230120261108
"19","Deming","Test1",0.6,0.005,60.6563434900684,2.48737822913665
"20","Deming","Test2",0.7,0.005,19.4569350486975,1.67971347154719
"21","Deming","Test3",0.8,0.005,-9.48802636556042,1.23091045930084
"22","Deming","Test4",0.6,0.01,60.6563434900684,4.91996792927733
"23","Deming","Test5",0.7,0.01,19.4569350486975,3.33082789075695
"24","Deming","Test6",0.8,0.01,-9.48802636556042,2.44474075524784
"25","Deming","Test7",0.6,0.02,60.6563434900684,9.62861177933792
"26","Deming","Test8",0.7,0.02,19.4569350486975,6.55043819503084
"27","Deming","Test9",0.8,0.02,-9.48802636556042,4.82271397164675
"28","WOLS","Test1",0.6,0.005,59.9559757586027,2.47377475502105
"29","WOLS","Test2",0.7,0.005,18.9585856776519,1.67248564668267
"30","WOLS","Test3",0.8,0.005,-9.87204188111298,1.22651317483439
"31","WOLS","Test4",0.6,0.01,59.9559757586027,4.89324199042801
"32","WOLS","Test5",0.7,0.01,18.9585856776519,3.31656862454497
"33","WOLS","Test6",0.8,0.01,-9.87204188111298,2.4360429341408
"34","WOLS","Test7",0.6,0.02,59.9559757586027,9.57699005060255
"35","WOLS","Test8",0.7,0.02,18.9585856776519,6.52267541013356
"36","WOLS","Test9",0.8,0.02,-9.87204188111298,4.8056933362289
"37","BayesianBLM1","Test1",0.6,0.005,59.9592522424028,0.200418252475789
"38","BayesianBLM1","Test2",0.7,0.005,19.1003656301561,0.134975871281787
"39","BayesianBLM1","Test3",0.8,0.005,-9.6531260839117,0.0991347955172504
"40","BayesianBLM1","Test4",0.6,0.01,59.9558146789298,0.200712509919954
"41","BayesianBLM1","Test5",0.7,0.01,19.1002989077725,0.135205645507581
"42","BayesianBLM1","Test6",0.8,0.01,-9.65448868987343,0.0990476303659005
"43","BayesianBLM1","Test7",0.6,0.02,59.9523390312134,0.200497083357476
"44","BayesianBLM1","Test8",0.7,0.02,19.0997278134668,0.135055813335993
"45","BayesianBLM1","Test9",0.8,0.02,-9.65280895879759,0.0990243064422838
"46","BayesianBLM1_NoErrors","Test1",0.6,0.005,59.9633515160107,0.201385166515395
"47","BayesianBLM1_NoErrors","Test2",0.7,0.005,19.1056601803732,0.135434992512291
"48","BayesianBLM1_NoErrors","Test3",0.8,0.005,-9.65643016290047,0.0993927782438031
"49","BayesianBLM1_NoErrors","Test4",0.6,0.01,59.9639861315896,0.20103098197877
"50","BayesianBLM1_NoErrors","Test5",0.7,0.01,19.1052701341355,0.13554806183712
"51","BayesianBLM1_NoErrors","Test6",0.8,0.01,-9.65776537183418,0.0993232089673118
"52","BayesianBLM1_NoErrors","Test7",0.6,0.02,59.9621173859896,0.201212482593911
"53","BayesianBLM1_NoErrors","Test8",0.7,0.02,19.1034816654115,0.135638397547283
"54","BayesianBLM1_NoErrors","Test9",0.8,0.02,-9.65366366183608,0.0994989426159961
"55","infTempBayesianBLM3","Test1",0.6,0.005,59.9616211870411,0.200834453351077
"56","infTempBayesianBLM3","Test2",0.7,0.005,19.1063822240324,0.135573313595329
"57","infTempBayesianBLM3","Test3",0.8,0.005,-9.65265506262519,0.0992951738728659
"58","infTempBayesianBLM3","Test4",0.6,0.01,59.9623476199055,0.2009722595105
"59","infTempBayesianBLM3","Test5",0.7,0.01,19.1048224198017,0.135395455479485
"60","infTempBayesianBLM3","Test6",0.8,0.01,-9.65436960469267,0.0994375736220831
"61","infTempBayesianBLM3","Test7",0.6,0.02,59.9628972936013,0.200856642349254
"62","infTempBayesianBLM3","Test8",0.7,0.02,19.1044891253266,0.135451558073259
"63","infTempBayesianBLM3","Test9",0.8,0.02,-9.65424605991821,0.0993119971949514
