"","Model","alpha","beta"
"1","OLS",0.256932719127505,0.0376654019044332
"2","OLS",0.261207616444417,0.0373797310574056
"3","OLS",0.262069293275691,0.0372615441822082
"4","OLS",0.259781442485127,0.037446600453107
"5","OLS",0.261567652971226,0.0372666813255084
"6","OLS",0.272392263337903,0.0365943277411637
"7","OLS",0.268311946292817,0.0368525116855607
"8","OLS",0.255543948143935,0.0379319907085537
"9","OLS",0.255568025698003,0.0376853636215242
"10","OLS",0.264667622875379,0.0371933285117865
"11","OLS",0.257493936731604,0.0376123290178399
"12","OLS",0.263044668017755,0.0374564563423476
"13","OLS",0.268978424839739,0.0368484872686299
"14","OLS",0.253725704142501,0.037862708375661
"15","OLS",0.263918236648366,0.0371194499493702
"16","OLS",0.265601332585295,0.0371912777113654
"17","OLS",0.264508340971511,0.0372342422112412
"18","OLS",0.267968147339282,0.0369320363592543
"19","OLS",0.254757051834564,0.0379863103130294
"20","OLS",0.270393305994878,0.036664947737181
"21","OLS",0.265718028918932,0.0369813586019923
"22","OLS",0.256952100174179,0.0376517442349417
"23","OLS",0.260123302466241,0.0375232576157542
"24","OLS",0.270786510741436,0.0366544184142322
"25","OLS",0.263307881557304,0.0372998600410019
"26","OLS",0.27082244859126,0.0366148463486361
"27","OLS",0.265467648700419,0.0368813610553152
"28","OLS",0.269889824385274,0.0366518111292893
"29","OLS",0.256575598985975,0.0377193481195574
"30","OLS",0.261813037842392,0.0373497661760252
"31","OLS",0.261815500534375,0.0374245776831016
"32","OLS",0.25859562820398,0.0376453250486982
"33","OLS",0.264629175048862,0.0370365965503213
"34","OLS",0.259825051159177,0.037433798780696
"35","OLS",0.261282015174191,0.0374853216952155
"36","OLS",0.259626567005702,0.0375368829434424
"37","OLS",0.260144397926555,0.0371786413342617
"38","OLS",0.257232726217256,0.0377107442663485
"39","OLS",0.259670231413714,0.0376216973469258
"40","OLS",0.262212505745495,0.0373228897818612
"41","OLS",0.266105464759495,0.0368065588064419
"42","OLS",0.264936172239934,0.037280999110745
"43","OLS",0.264894863130456,0.0371824507369847
"44","OLS",0.253545798201342,0.0379809185789694
"45","OLS",0.266146014179016,0.0369588951957711
"46","OLS",0.255337521931017,0.0378836913912277
"47","OLS",0.2607684631002,0.0375675215178966
"48","OLS",0.260264559986368,0.0374039676918584
"49","OLS",0.268236547845691,0.0365680428175826
"50","OLS",0.258679618852323,0.0374899284041279
"51","OLS",0.258705486597781,0.0375356546238526
"52","OLS",0.257089861004637,0.0377604201877954
"53","OLS",0.263226933449254,0.0373614773240964
"54","OLS",0.25271625136506,0.0380777857383163
"55","OLS",0.268419449938108,0.0367012699193663
"56","OLS",0.261041282969364,0.0374683485562618
"57","OLS",0.266100426178706,0.0371674895690351
"58","OLS",0.257898649813955,0.0374754770375297
"59","OLS",0.251133359284259,0.0383329114115692
"60","OLS",0.26464175208849,0.0371429183140826
"61","OLS",0.257140642741285,0.0377644530510932
"62","OLS",0.260877560004853,0.0374751962127081
"63","OLS",0.249425887507439,0.0382675462262806
"64","OLS",0.259415068241498,0.0375448660138303
"65","OLS",0.260857342662486,0.0374865285960651
"66","OLS",0.258077859192581,0.0379271452434286
"67","OLS",0.267120709836642,0.0369412360657152
"68","OLS",0.253645603279734,0.0379440638505305
"69","OLS",0.262088574742828,0.0373294900101238
"70","OLS",0.265794028696306,0.0370039607490094
"71","OLS",0.26564336188771,0.0372053625358127
"72","OLS",0.262801440653069,0.0371551513583793
"73","OLS",0.261017459248689,0.0373884286983998
"74","OLS",0.260446992767658,0.0372900666043169
"75","OLS",0.273109081416815,0.0365217183646631
"76","OLS",0.250566693543876,0.038196019944304
"77","OLS",0.259198970365984,0.0374138830411746
"78","OLS",0.256969565017097,0.0376790768782304
"79","OLS",0.264241223199477,0.0373438314899235
"80","OLS",0.260906490560601,0.0374148976786978
"81","OLS",0.260325309247576,0.0374332791099382
"82","OLS",0.269641664684585,0.0365841388372541
"83","OLS",0.263173709899108,0.0371074376029012
"84","OLS",0.273606331931768,0.0364701672332922
"85","OLS",0.25940263143264,0.0374287783419157
"86","OLS",0.253525073786934,0.0379329188715827
"87","OLS",0.267231470555894,0.0369129756177117
"88","OLS",0.25599609511579,0.0379021158735799
"89","OLS",0.265382971384288,0.0369677988138682
"90","OLS",0.247621933462645,0.0386074129734143
"91","OLS",0.266738517501384,0.0370350254759745
"92","OLS",0.262502287786023,0.0372879801584265
"93","OLS",0.269360883581768,0.0369639882195907
"94","OLS",0.265130533795599,0.0370950589932876
"95","OLS",0.262582800436034,0.0373122641506365
"96","OLS",0.270769732957946,0.0366169008702587
"97","OLS",0.272153519219527,0.0365830922277136
"98","OLS",0.263588771222433,0.0371120303523303
"99","OLS",0.258225442581256,0.0376800495619616
"100","OLS",0.265484504048612,0.0370625023379552
"101","OLS",0.250163483136058,0.038232402416586
"102","OLS",0.256098413584058,0.0377679297319527
"103","OLS",0.253676911022791,0.0378668065751892
"104","OLS",0.2612885410278,0.0374147914204425
"105","OLS",0.274154691755366,0.0363360478168796
"106","OLS",0.267076784004505,0.0367392945225687
"107","OLS",0.256735055657394,0.0376297403076596
"108","OLS",0.276369330554141,0.0361930127299316
"109","OLS",0.24802021234364,0.0382033642461969
"110","OLS",0.258492533205577,0.0375861855350061
"111","OLS",0.25883890826657,0.0377745460840812
"112","OLS",0.256373945299308,0.0376982143011277
"113","OLS",0.275114306042049,0.0362461093910203
"114","OLS",0.254528225981328,0.0380864360312011
"115","OLS",0.257659183900175,0.037688015744069
"116","OLS",0.256611420605618,0.0378199860877632
"117","OLS",0.265121886161825,0.0369061647560418
"118","OLS",0.256867283155381,0.037526273803208
"119","OLS",0.265229906589105,0.0370587315244112
"120","OLS",0.254535081402911,0.0377976004549499
"121","OLS",0.263646864071427,0.0369943656125923
"122","OLS",0.261681003712059,0.0372723211873224
"123","OLS",0.252647726409897,0.0378743552817371
"124","OLS",0.249158219581833,0.0385589479571039
"125","OLS",0.262012391439322,0.037290490084018
"126","OLS",0.25260526453644,0.0380932722714703
"127","OLS",0.262578264817547,0.0369808751009338
"128","OLS",0.254321813647805,0.0378631473694774
"129","OLS",0.261841673425311,0.0372077776302173
"130","OLS",0.26052176515445,0.0372625064896436
"131","OLS",0.26119425505606,0.0373846273682232
"132","OLS",0.25211310414133,0.0379238098374455
"133","OLS",0.257403808031904,0.0375095382090901
"134","OLS",0.272681922117631,0.0364785200964038
"135","OLS",0.265837847543215,0.0370630021178536
"136","OLS",0.260149364644447,0.0375874039778666
"137","OLS",0.258654942564864,0.0375690685398933
"138","OLS",0.267371717079025,0.036911142118603
"139","OLS",0.251928957929202,0.0381597713878473
"140","OLS",0.261233285552677,0.0375150480730848
"141","OLS",0.263076875577245,0.0371331533885762
"142","OLS",0.262217461386236,0.0373116575499616
"143","OLS",0.255807233069313,0.0379105326962295
"144","OLS",0.265043121771857,0.0370107449244036
"145","OLS",0.253473936031697,0.0380604065228479
"146","OLS",0.255464002360863,0.0377237358575238
"147","OLS",0.258033750326592,0.0375565089408066
"148","OLS",0.253757879599468,0.0379260375458696
"149","OLS",0.247704825024077,0.0383738169549737
