"","Model","alpha","beta"
"1","OLS",0.2596100789979,0.037521538785148
"2","OLS",0.262960289631783,0.037248618880213
"3","OLS",0.27503658694719,0.0362445092198876
"4","OLS",0.273797763246796,0.0364343630159771
"5","OLS",0.28714188325709,0.0352118390774002
"6","OLS",0.271115812811794,0.0364876964311975
"7","OLS",0.269984917439882,0.0364169911139762
"8","OLS",0.275131930568683,0.0362178148472617
"9","OLS",0.262757372701501,0.0372485432450833
"10","OLS",0.298105501855261,0.0340968249141435
"11","OLS",0.258828900596466,0.0378053563914953
"12","OLS",0.269677204611661,0.0368514275015223
"13","OLS",0.25348463833558,0.0380027614720644
"14","OLS",0.278825239642141,0.0356415406899573
"15","OLS",0.244235436839307,0.0389358670672733
"16","OLS",0.28788513088378,0.0349190250415125
"17","OLS",0.270538771283123,0.0365609866793613
"18","OLS",0.2583474796313,0.0374751410884551
"19","OLS",0.269738470052194,0.0363223960052497
"20","OLS",0.26896286227268,0.0367327467292742
"21","OLS",0.256603718379974,0.037789926578442
"22","OLS",0.275976223190009,0.0361151201850112
"23","OLS",0.263270368706004,0.0374113029272345
"24","OLS",0.272572284402854,0.0359892354049973
"25","OLS",0.265206829658528,0.0368503998400142
"26","OLS",0.278952233121553,0.0359409966349012
"27","OLS",0.272411146898428,0.03631342753688
"28","OLS",0.265992850985097,0.0367823740000864
"29","OLS",0.266308726487744,0.0367625007819678
"30","OLS",0.262781406037748,0.0373244845592004
"31","OLS",0.266451088480595,0.0367962685721033
"32","OLS",0.266815633747052,0.0367817105649529
"33","OLS",0.27683398015363,0.036289253717422
"34","OLS",0.26345933155788,0.03733993205858
"35","OLS",0.256610048575086,0.0377033326081172
"36","OLS",0.280477621878914,0.0354896197253356
"37","OLS",0.268857872363658,0.0367999112253904
"38","OLS",0.263345115816361,0.037333424751057
"39","OLS",0.257507767796651,0.0378439631801183
"40","OLS",0.274160833024462,0.0363286634092309
"41","OLS",0.26412183360173,0.0369970749823897
"42","OLS",0.260834497130636,0.0375183057518292
"43","OLS",0.258987073913017,0.0376728285784284
"44","OLS",0.283498145407588,0.0353476726158114
"45","OLS",0.27912517950104,0.0355928964105011
"46","OLS",0.265017164744014,0.0369228352950579
"47","OLS",0.255108001936158,0.0381862240328508
"48","OLS",0.262925939437639,0.0371424444613373
"49","OLS",0.276027896288213,0.0358293063373626
"50","OLS",0.252275493293173,0.0383385766156522
"51","OLS",0.273095465947214,0.0364523865767349
"52","OLS",0.260195811729664,0.0374337920161049
"53","OLS",0.258021963326101,0.0373343674663351
"54","OLS",0.266071074999119,0.0372661722551937
"55","OLS",0.266231229330215,0.0367773026575696
"56","OLS",0.260993983921984,0.0372799637421082
"57","OLS",0.276849918124381,0.0359813508915551
"58","OLS",0.270348738939041,0.0365965333972041
"59","OLS",0.275196404519173,0.0363951381342187
"60","OLS",0.263094357404997,0.0371088502774581
"61","OLS",0.279567291389609,0.0355122632330993
"62","OLS",0.27054564913103,0.0366220594435564
"63","OLS",0.262713618151194,0.0371497013528573
"64","OLS",0.275475013734565,0.0359876144748167
"65","OLS",0.262785223447295,0.0372969955775107
"66","OLS",0.265232615431175,0.0369722093935848
"67","OLS",0.279622291537741,0.0356248667744976
"68","OLS",0.277388188453904,0.0360395158457734
"69","OLS",0.252640521440793,0.0382721140698548
"70","OLS",0.285911493925214,0.0354812399939946
"71","OLS",0.266968478088337,0.0368686764656398
"72","OLS",0.263527507837294,0.037214855006509
"73","OLS",0.274215935827275,0.0362656653540415
"74","OLS",0.27201491305435,0.0362782127842906
"75","OLS",0.262048678451778,0.0371533738561852
"76","OLS",0.254892227528434,0.0380742938280241
"77","OLS",0.275002184036042,0.0361079252489572
"78","OLS",0.265362731974231,0.0371348393220263
"79","OLS",0.271349810141788,0.0363337341553601
"80","OLS",0.273738142623003,0.0362032561761936
"81","OLS",0.262304933747634,0.0372574067035678
"82","OLS",0.261520105258459,0.0373791116327202
"83","OLS",0.271093889696071,0.0361497675347623
"84","OLS",0.263293860016977,0.0372664243485336
"85","OLS",0.27384601069606,0.0362704878044818
"86","OLS",0.258147388626723,0.0375061384670807
"87","OLS",0.249872187036729,0.0383704840225704
"88","OLS",0.261509949203182,0.0377312285557335
"89","OLS",0.265029450199705,0.0372002318258811
"90","OLS",0.273492551367947,0.0363188024164685
"91","OLS",0.253620443729998,0.0381377518133941
"92","OLS",0.2580436618109,0.0377671431353719
"93","OLS",0.250781922548756,0.0383857265144699
"94","OLS",0.271753082333444,0.0366829272457475
"95","OLS",0.261922869364827,0.0374205478762383
"96","OLS",0.257380288971398,0.0374305934628122
"97","OLS",0.269054154107618,0.0368251910720694
"98","OLS",0.263350262450788,0.0370585067694871
"99","OLS",0.26229857477654,0.0372775115463034
"100","OLS",0.261794902359496,0.0371220581077182
"101","OLS",0.28239061450022,0.0353740133084101
"102","OLS",0.282264844553431,0.035751256594619
"103","OLS",0.278064322508944,0.036191279969386
"104","OLS",0.279371754779157,0.0355350858095837
"105","OLS",0.262292510310484,0.0372171688799318
"106","OLS",0.26071113540588,0.037418770976483
"107","OLS",0.270967357946256,0.0364062107664486
"108","OLS",0.283127245538579,0.0353783690380954
"109","OLS",0.272763523161467,0.0362447293908946
"110","OLS",0.278163485191165,0.0359012487340457
"111","OLS",0.270473003065409,0.0366923643343467
"112","OLS",0.275314648890077,0.0360647505454011
"113","OLS",0.257418260645938,0.037817091299143
"114","OLS",0.272131638839894,0.0363473214020072
"115","OLS",0.279457641714134,0.036054260435454
"116","OLS",0.27361086766042,0.0363284981170877
"117","OLS",0.254947889359836,0.0380009431083847
"118","OLS",0.280993658319184,0.0358313298398464
"119","OLS",0.260404419922842,0.0372087693059261
"120","OLS",0.278480434470107,0.0359423089813451
"121","OLS",0.256173617389063,0.0377046924914183
"122","OLS",0.27404079142493,0.0363037683575533
"123","OLS",0.276852530471863,0.0360397260713706
