"","Model","Sample","D47","D47error","meanTemp","error"
"1","OLS","Test1",0.6,0.005,59.8767414720987,2.48781324588856
"2","OLS","Test2",0.7,0.005,18.6875641230257,1.67854250389814
"3","OLS","Test3",0.8,0.005,-10.2295967014757,1.22938163317701
"4","OLS","Test4",0.6,0.01,59.8767414720987,4.92069252196211
"5","OLS","Test5",0.7,0.01,18.6875641230257,3.32845115421884
"6","OLS","Test6",0.8,0.01,-10.2295967014757,2.44167769827499
"7","OLS","Test7",0.6,0.02,59.8767414720987,9.62951892954987
"8","OLS","Test8",0.7,0.02,18.6875641230257,6.54555535342348
"9","OLS","Test9",0.8,0.02,-10.2295967014757,4.81656911316804
"10","York","Test1",0.6,0.005,61.2440652481349,2.50436206460228
"11","York","Test2",0.7,0.005,19.7986158363151,1.68822057445163
"12","York","Test3",0.8,0.005,-9.27754261278551,1.23578980984604
"13","York","Test4",0.6,0.01,61.2440652481349,4.95328658016791
"14","York","Test5",0.7,0.01,19.7986158363151,3.34758664546194
"15","York","Test6",0.8,0.01,-9.27754261278551,2.45437801138132
"16","York","Test7",0.6,0.02,61.2440652481349,9.69278418030069
"17","York","Test8",0.7,0.02,19.7986158363151,6.58297437503569
"18","York","Test9",0.8,0.02,-9.27754261278551,4.8415185653152
"19","Deming","Test1",0.6,0.005,61.192490085687,2.50173235461097
"20","Deming","Test2",0.7,0.005,19.7842935545024,1.68697396290304
"21","Deming","Test3",0.8,0.005,-9.27312970537542,1.23511786109339
"22","Deming","Test4",0.6,0.01,61.192490085687,4.94813425920347
"23","Deming","Test5",0.7,0.01,19.7842935545024,3.34513438510538
"24","Deming","Test6",0.8,0.01,-9.27312970537542,2.45305301326653
"25","Deming","Test7",0.6,0.02,61.192490085687,9.6828857282801
"26","Deming","Test8",0.7,0.02,19.7842935545024,6.57822698968448
"27","Deming","Test9",0.8,0.02,-9.27312970537542,4.83894158743533
"28","WOLS","Test1",0.6,0.005,59.8125164837311,2.48305184989687
"29","WOLS","Test2",0.7,0.005,18.6902370079469,1.67633235486318
"30","WOLS","Test3",0.8,0.005,-10.1940676452093,1.22822214307087
"31","WOLS","Test4",0.6,0.01,59.8125164837311,4.91136786270891
"32","WOLS","Test5",0.7,0.01,18.6902370079469,3.32410604265874
"33","WOLS","Test6",0.8,0.01,-10.1940676452093,2.43939306529268
"34","WOLS","Test7",0.6,0.02,59.8125164837311,9.6116208137995
"35","WOLS","Test8",0.7,0.02,18.6902370079469,6.53715342239195
"36","WOLS","Test9",0.8,0.02,-10.1940676452093,4.81213247764936
"37","BayesianBLM1","Test1",0.6,0.005,59.9980610095475,0.22446621807369
"38","BayesianBLM1","Test2",0.7,0.005,18.8786062503757,0.148522946777247
"39","BayesianBLM1","Test3",0.8,0.005,-9.99812059419454,0.11021101994721
"40","BayesianBLM1","Test4",0.6,0.01,59.99897027778,0.224313380692426
"41","BayesianBLM1","Test5",0.7,0.01,18.8804179763085,0.148734937992823
"42","BayesianBLM1","Test6",0.8,0.01,-9.99990965462907,0.110331387712323
"43","BayesianBLM1","Test7",0.6,0.02,60.0003277427564,0.224349034813895
"44","BayesianBLM1","Test8",0.7,0.02,18.8758668980125,0.148756796417355
"45","BayesianBLM1","Test9",0.8,0.02,-9.99750799898636,0.110118496270162
"46","BayesianBLM1_NoErrors","Test1",0.6,0.005,60.005035681902,0.225120993395132
"47","BayesianBLM1_NoErrors","Test2",0.7,0.005,18.8466138713243,0.148241072477152
"48","BayesianBLM1_NoErrors","Test3",0.8,0.005,-10.042662215667,0.110073971526417
"49","BayesianBLM1_NoErrors","Test4",0.6,0.01,60.0035404554377,0.224849550001615
"50","BayesianBLM1_NoErrors","Test5",0.7,0.01,18.8467627826231,0.148183189776194
"51","BayesianBLM1_NoErrors","Test6",0.8,0.01,-10.0432145496084,0.109852946853007
"52","BayesianBLM1_NoErrors","Test7",0.6,0.02,60.0031287532823,0.224784653174385
"53","BayesianBLM1_NoErrors","Test8",0.7,0.02,18.8443382011823,0.148371878329977
"54","BayesianBLM1_NoErrors","Test9",0.8,0.02,-10.0411071385733,0.109858479767523
"55","infTempBayesianBLM3","Test1",0.6,0.005,59.948999751803,0.224826639389843
"56","infTempBayesianBLM3","Test2",0.7,0.005,18.873528271497,0.14883665272199
"57","infTempBayesianBLM3","Test3",0.8,0.005,-9.97911441662585,0.110199681782186
"58","infTempBayesianBLM3","Test4",0.6,0.01,59.9481131343067,0.224720515367211
"59","infTempBayesianBLM3","Test5",0.7,0.01,18.8723066262038,0.148833007593554
"60","infTempBayesianBLM3","Test6",0.8,0.01,-9.97830825934893,0.110126710305541
"61","infTempBayesianBLM3","Test7",0.6,0.02,59.9450321351819,0.22473003495697
"62","infTempBayesianBLM3","Test8",0.7,0.02,18.8738659591056,0.148906645329108
"63","infTempBayesianBLM3","Test9",0.8,0.02,-9.9767750447542,0.110238203913606
