"","Model","D47","D47PredErr","Tc","sd","Material"
"1","BLM1_fit",0.6,0.005,59.1082489733221,2.53682639931505,NA
"2","BLM1_fit",0.7,0.005,18.7550301480749,1.67809225330011,NA
"3","BLM1_fit",0.8,0.005,-9.75614324360292,1.25205202389732,NA
"4","BLM1_fit",0.6,0.01,59.1241086539429,4.96640743835834,NA
"5","BLM1_fit",0.7,0.01,18.843593735655,3.36113430892677,NA
"6","BLM1_fit",0.8,0.01,-9.70126270787137,2.44073558096122,NA
"7","BLM1_fit",0.6,0.02,59.6606947840815,9.92315661067498,NA
"8","BLM1_fit",0.7,0.02,18.9181261586928,6.44903985512873,NA
"9","BLM1_fit",0.8,0.02,-9.67596939540294,4.91482852613343,NA
"10","BLM1_fit_NoErrors",0.6,0.005,59.0185691008376,2.56326456051166,NA
"11","BLM1_fit_NoErrors",0.7,0.005,18.8298682629796,1.67994848418681,NA
"12","BLM1_fit_NoErrors",0.8,0.005,-9.69763567850635,1.23622835491425,NA
"13","BLM1_fit_NoErrors",0.6,0.01,59.1434802854656,4.84250827829064,NA
"14","BLM1_fit_NoErrors",0.7,0.01,18.7996092274487,3.32542680426829,NA
"15","BLM1_fit_NoErrors",0.8,0.01,-9.71473547406471,2.47706274294914,NA
"16","BLM1_fit_NoErrors",0.6,0.02,59.4044701996253,9.99203735575944,NA
"17","BLM1_fit_NoErrors",0.7,0.02,18.6726427521188,6.58529834538649,NA
"18","BLM1_fit_NoErrors",0.8,0.02,-9.71508405593555,4.80069870056048,NA
"19","BLM3",0.6,0.005,59.0061034231541,2.5585627547779,1
"20","BLM3",0.7,0.005,18.7867496793495,1.68887616483008,1
"21","BLM3",0.8,0.005,-9.68681085830673,1.23459382630416,1
"22","BLM3",0.6,0.01,59.1956157576685,5.02409034330099,1
"23","BLM3",0.7,0.01,18.8028482521377,3.37506974977617,1
"24","BLM3",0.8,0.01,-9.73892260465517,2.44949881208505,1
"25","BLM3",0.6,0.02,59.5661049317446,9.79529201269232,1
"26","BLM3",0.7,0.02,19.0915430118288,6.70007266431177,1
"27","BLM3",0.8,0.02,-9.62270054759401,4.77255759074642,1
"28","OLS",0.6,0.005,59.0537738664511,2.42441762538118,NA
"29","OLS",0.7,0.005,18.7574227683514,1.64896559071468,NA
"30","OLS",0.8,0.005,-9.71951664555542,1.21382646747247,NA
"31","OLS",0.6,0.01,59.0537738664511,4.79651833038292,NA
"32","OLS",0.7,0.01,18.7574227683514,3.27029853565517,NA
"33","OLS",0.8,0.01,-9.71951664555542,2.41102700241771,NA
"34","OLS",0.6,0.02,59.0537738664511,9.39109788588706,NA
"35","OLS",0.7,0.02,18.7574227683514,6.43309024468329,NA
"36","OLS",0.8,0.02,-9.71951664555542,4.75704292025364,NA
"37","York",0.6,0.005,58.0809999417186,2.36217314590226,NA
"38","York",0.7,0.005,18.6703775255061,1.61921472954157,NA
"39","York",0.8,0.005,-9.35958693773142,1.19782963317385,NA
"40","York",0.6,0.01,58.0809999417186,4.67451906320804,NA
"41","York",0.7,0.01,18.6703775255061,3.21177169353564,NA
"42","York",0.8,0.01,-9.35958693773142,2.37948861557152,NA
"43","York",0.6,0.02,58.0809999417186,9.15655637223023,NA
"44","York",0.7,0.02,18.6703775255061,6.31977922580785,NA
"45","York",0.8,0.02,-9.35958693773142,4.69572584771714,NA
"46","Deming",0.6,0.005,59.0537738668004,2.42441762547315,NA
"47","Deming",0.7,0.005,18.7574227674163,1.64896559075686,NA
"48","Deming",0.8,0.005,-9.71951664710429,1.21382646749339,NA
"49","Deming",0.6,0.01,59.0537738668004,4.79651833056272,NA
"50","Deming",0.7,0.01,18.7574227674163,3.27029853573754,NA
"51","Deming",0.8,0.01,-9.71951664710429,2.41102700245921,NA
"52","Deming",0.6,0.02,59.0537738668004,9.39109788623284,NA
"53","Deming",0.7,0.02,18.7574227674163,6.43309024484205,NA
"54","Deming",0.8,0.02,-9.71951664710429,4.75704292033436,NA
"55","WOLS",0.6,0.005,59.0537739179106,2.42441762833624,NA
"56","WOLS",0.7,0.005,18.7574227777907,1.64896559212627,NA
"57","WOLS",0.8,0.005,-9.7195166573398,1.21382646823355,NA
"58","WOLS",0.6,0.01,59.0537739179106,4.7965183361739,NA
"59","WOLS",0.7,0.01,18.7574227777907,3.2702985384314,NA
"60","WOLS",0.8,0.01,-9.7195166573398,2.41102700391855,NA
"61","WOLS",0.6,0.02,59.0537739179106,9.39109789701939,NA
"62","WOLS",0.7,0.02,18.7574227777907,6.43309025005874,NA
"63","WOLS",0.8,0.02,-9.7195166573398,4.75704292317204,NA
