"","Model","alpha","beta"
"1","OLS",0.27296929987564,0.0363240542159249
"2","OLS",0.269668656580723,0.0365454070683395
"3","OLS",0.275294441227354,0.0363813068015765
"4","OLS",0.261765297646037,0.0376463023052694
"5","OLS",0.254338638604679,0.0380943940247414
"6","OLS",0.262923085662538,0.0372455364598682
"7","OLS",0.252558761722037,0.0383659632387216
"8","OLS",0.257512935381157,0.0370547445784429
"9","OLS",0.275251336136209,0.0360376049465279
"10","OLS",0.273569784468862,0.0361723164504051
"11","OLS",0.29541524241551,0.0346793499206937
"12","OLS",0.28638384112194,0.0348768662473143
"13","OLS",0.295657233429244,0.0344377952918187
"14","OLS",0.261615845820639,0.0375537577634575
"15","OLS",0.271953635524609,0.036505847358938
"16","OLS",0.266758349783559,0.0369722944060919
"17","OLS",0.310831636822213,0.0333188217442566
"18","OLS",0.280993892803353,0.0360554534407422
"19","OLS",0.241109519573406,0.0389161814117014
"20","OLS",0.258418359884207,0.0375488080492171
"21","OLS",0.286543740826128,0.0349384892914326
"22","OLS",0.256469630676293,0.0375369959086008
"23","OLS",0.260138803131734,0.0374962832915668
"24","OLS",0.252485586474613,0.0376841581025808
"25","OLS",0.296784945587922,0.0340173658402563
"26","OLS",0.248688442683644,0.0382097868892592
"27","OLS",0.268728705907509,0.0367585138670097
"28","OLS",0.28228612830688,0.0354283113529706
"29","OLS",0.290974075820373,0.0345769552145791
"30","OLS",0.275268507014705,0.0365785729679951
"31","OLS",0.256648208899994,0.0376085272020633
"32","OLS",0.263409083518259,0.0372081165902612
"33","OLS",0.262433242882291,0.0371563226914873
"34","OLS",0.280829640449306,0.0355761660494746
"35","OLS",0.26356724846436,0.037682571915392
"36","OLS",0.233998481432541,0.0400474778607901
"37","OLS",0.288207240250756,0.0357515671653505
"38","OLS",0.25771285055428,0.0379329605997242
"39","OLS",0.258785803103594,0.0378503376003706
"40","OLS",0.275308386258925,0.0358262778546564
"41","OLS",0.278759368381358,0.0357944483576268
"42","OLS",0.242604895320288,0.0386500814760369
"43","OLS",0.261704621970737,0.0369639995488883
"44","OLS",0.26036821140199,0.0375391810784902
"45","OLS",0.248378775577001,0.0386278887705724
"46","OLS",0.282383129607408,0.035393757489071
"47","OLS",0.24632136134591,0.0383998655293921
"48","OLS",0.259798702010776,0.0375313792048804
"49","OLS",0.25426307121778,0.0381877508680625
"50","OLS",0.253154221518469,0.0380837980107274
"51","OLS",0.251528057558841,0.0378593147453159
"52","OLS",0.241013723452054,0.0389184069942166
"53","OLS",0.262382125201446,0.0366981330691169
"54","OLS",0.275493818167461,0.03673655459883
"55","OLS",0.282423526579308,0.0356758529790147
"56","OLS",0.261008768385796,0.0373007747387372
"57","OLS",0.262949646423832,0.037434052167382
"58","OLS",0.266236108718546,0.0364630966912084
"59","OLS",0.248294155995993,0.0381641268293765
"60","OLS",0.284427782503115,0.0352802314710937
"61","OLS",0.297541295154994,0.0340631713105876
"62","OLS",0.275833404916039,0.0357025619538215
"63","OLS",0.269095086277779,0.0363945005342224
"64","OLS",0.269812403329798,0.03676030313166
"65","OLS",0.296701456850121,0.0343699996271653
"66","OLS",0.260025166903727,0.0369753000534935
"67","OLS",0.266211459609455,0.0365918302293233
"68","OLS",0.284959786063623,0.0356434142688166
"69","OLS",0.263573171381821,0.0368781412121712
"70","OLS",0.28082341447397,0.0353923663016905
"71","OLS",0.252721609886639,0.0379090955229537
"72","OLS",0.258048150171014,0.0376666599146765
"73","OLS",0.239003547455238,0.0389783550982691
"74","OLS",0.290070759239463,0.0342777279357394
"75","OLS",0.260852807531474,0.0371993031260817
"76","OLS",0.247998176670412,0.038381004247527
"77","OLS",0.250482595383636,0.038133206661538
"78","OLS",0.258611890303486,0.0374724619399637
"79","OLS",0.260549523767495,0.0374415703949322
"80","OLS",0.233415843537262,0.0396925705299484
"81","OLS",0.263449280676651,0.0369661220478816
"82","OLS",0.250158072211466,0.0380792804220968
"83","OLS",0.268495189516696,0.0366067389532434
"84","OLS",0.292323256451712,0.0342384619658419
"85","OLS",0.251085933802923,0.0381128252628305
"86","OLS",0.263933038924345,0.0370827378196856
"87","OLS",0.2568470096831,0.0380921658589628
"88","OLS",0.266612389124796,0.0373807733881892
"89","OLS",0.264102874732122,0.0373644720487096
"90","OLS",0.265612600679509,0.0368624155404817
"91","OLS",0.285829224613182,0.0349065268383899
"92","OLS",0.285443215680273,0.0352629441760588
"93","OLS",0.295819630012735,0.0342930903687515
"94","OLS",0.282475628004083,0.0357891375619724
"95","OLS",0.293103739850337,0.0346747682568244
"96","OLS",0.234391682012892,0.0396422042875635
"97","OLS",0.288333891300946,0.0346337740077026
"98","OLS",0.318916298479408,0.0328989498485238
"99","OLS",0.251724246527019,0.0379704498373856
"100","OLS",0.259121622612938,0.0374748357965849
"101","OLS",0.265213226683418,0.0366809027598407
"102","OLS",0.271243860471384,0.0362178481843777
"103","OLS",0.283264346533257,0.0356409383152219
"104","OLS",0.275646065650349,0.0359600340301056
"105","OLS",0.266473565310896,0.0369711301048447
"106","OLS",0.268811790021768,0.0366899070089933
"107","OLS",0.278503856018626,0.0355450860543077
"108","OLS",0.261611032304812,0.0371209970210826
"109","OLS",0.282906723989968,0.0355628326413005
"110","OLS",0.257584415416572,0.0382782686391866
"111","OLS",0.251893326471055,0.0381188760026752
"112","OLS",0.287589127423921,0.0351734223312173
"113","OLS",0.308019751019919,0.0332378635655042
"114","OLS",0.282838811479022,0.0354799002098351
"115","OLS",0.24861165249574,0.038638790117798
"116","OLS",0.296392959475874,0.0340588937511418
"117","OLS",0.28603711852889,0.0348610211160437
"118","OLS",0.26322038693471,0.0372244639736356
"119","OLS",0.248214814231554,0.03889651061503
"120","OLS",0.275775142579534,0.0359859610653488
"121","OLS",0.287089599905933,0.0348707120412277
"122","OLS",0.272241492547061,0.0364677476441677
"123","OLS",0.246502298623598,0.0382279095070214
"124","OLS",0.275939533229164,0.0361325964445059
"125","OLS",0.254381695638074,0.0376389109124551
"126","OLS",0.292497196443789,0.0346684004028865
"127","OLS",0.258647230291019,0.0374298701819263
"128","OLS",0.310033485161415,0.0327482803352485
"129","OLS",0.260705763843312,0.0371306825267489
"130","OLS",0.251078691219627,0.0380154030151202
"131","OLS",0.288028071508591,0.0347141408883196
"132","OLS",0.245098043665079,0.0387536956751707
"133","OLS",0.272702169187526,0.0367685046487864
"134","OLS",0.290746468776738,0.0343631620041629
"135","OLS",0.249427669524737,0.0384438692671002
"136","OLS",0.26616572107507,0.0370993389598733
"137","OLS",0.268592428172802,0.0365936584087694
"138","OLS",0.264322459412345,0.0373117272160033
"139","OLS",0.277902763601626,0.0355942909688459
"140","OLS",0.256780122842463,0.0376330056437607
"141","OLS",0.290809100471592,0.0346152948566121
"142","OLS",0.273850157503444,0.0363393414851429
"143","OLS",0.254923076413972,0.0377089675585374
"144","OLS",0.285496146994503,0.0352301283055055
"145","OLS",0.290239066968849,0.0349742419523476
"146","OLS",0.290103356045152,0.0347598561304167
"147","OLS",0.287135679263113,0.0348352172483867
"148","OLS",0.263605056461847,0.0369006000312249
"149","OLS",0.306638607377056,0.0329511537614553
"150","OLS",0.260555452961717,0.0372683071924017
"151","OLS",0.265310987093475,0.0364551112375433
"152","OLS",0.289476811925722,0.0349018132145675
"153","OLS",0.286412551514136,0.035308853457619
"154","OLS",0.25825200444439,0.0376129192675356
"155","OLS",0.233886939304063,0.0400982537586685
"156","OLS",0.281563816554562,0.0351405751628947
