"","Model","alpha","beta"
"1","OLS",0.259065549942127,0.0376167192243897
"2","OLS",0.247828167694538,0.0384730855540316
"3","OLS",0.276128894604765,0.0362549003353249
"4","OLS",0.260118306227514,0.0369894238273665
"5","OLS",0.232245622135804,0.039742108906633
"6","OLS",0.262670705761762,0.0372096839125181
"7","OLS",0.207609625705631,0.0413578515799861
"8","OLS",0.263360063632698,0.0367762371515243
"9","OLS",0.221265765508865,0.0400168420821466
"10","OLS",0.234229724271075,0.0394735442612293
"11","OLS",0.280662582546269,0.0360636345492582
"12","OLS",0.251080585898997,0.0380495098422578
"13","OLS",0.284460314329535,0.0356410549593238
"14","OLS",0.273531542829485,0.0361102415386026
"15","OLS",0.281859413955314,0.0360927613492248
"16","OLS",0.272154154262454,0.0365328199330674
"17","OLS",0.278003373814297,0.0354385212731107
"18","OLS",0.254183557827581,0.0376076369379095
"19","OLS",0.265038199446885,0.037627428649843
"20","OLS",0.269296090496951,0.0372484625213012
"21","OLS",0.258355444577566,0.0384452699411324
"22","OLS",0.263484550765967,0.0369394886875106
"23","OLS",0.254615388550167,0.0379097028215856
"24","OLS",0.259132338354794,0.0378944750786327
"25","OLS",0.266365835834248,0.0371140265912817
"26","OLS",0.263705599604321,0.0369816682865967
"27","OLS",0.232482586360623,0.0398969068149154
"28","OLS",0.29990069530716,0.03413528106709
"29","OLS",0.253812544462868,0.0379036158061888
"30","OLS",0.246413392319943,0.0382045365691379
"31","OLS",0.267653437132352,0.0358831368656036
"32","OLS",0.256459418106125,0.0373930965396061
"33","OLS",0.228741230942515,0.0397028419774545
"34","OLS",0.254551886103875,0.0380841823174912
"35","OLS",0.239815233111929,0.0387908889797737
"36","OLS",0.270303034830123,0.0362345211364095
"37","OLS",0.263220245884447,0.0373560074238812
"38","OLS",0.270419838495759,0.0372834615247776
"39","OLS",0.273063851899896,0.0367679625969879
"40","OLS",0.240485397344787,0.0385164298719725
"41","OLS",0.268215357421457,0.0362179082819634
"42","OLS",0.277168131979493,0.0358360717056117
"43","OLS",0.27486477421068,0.0359482075781447
"44","OLS",0.26200227585126,0.0367404288349425
"45","OLS",0.206262315742834,0.0413385797606273
"46","OLS",0.278265858344147,0.0358329593221198
"47","OLS",0.264683020441014,0.0371046683925635
"48","OLS",0.252968681283742,0.038255715931121
"49","OLS",0.250976399218838,0.0381000431804886
"50","OLS",0.27956408243128,0.0362706105517984
"51","OLS",0.29005432200312,0.035123971228213
"52","OLS",0.277385964192471,0.0354094091853714
"53","OLS",0.254982582560781,0.0380308279232534
"54","OLS",0.21771788465835,0.0412357479146382
"55","OLS",0.274758647858341,0.0363123928117607
"56","OLS",0.262285906309814,0.0367635365146108
"57","OLS",0.263365600055009,0.03740977555077
"58","OLS",0.278736224150866,0.03563291205887
"59","OLS",0.277442046074913,0.0361737744692614
"60","OLS",0.267535109266801,0.0363247963711821
"61","OLS",0.248751771595402,0.038203906384195
"62","OLS",0.248342951950036,0.0381659866021357
"63","OLS",0.245978970614,0.0391997785720656
"64","OLS",0.25095127463411,0.0376333754140555
"65","OLS",0.265913244819189,0.0378106142295124
"66","OLS",0.281549307301865,0.0363283627299015
"67","OLS",0.242753014500154,0.0390491247548315
"68","OLS",0.269152150196362,0.0366879213029369
"69","OLS",0.259969488788496,0.037732287973353
"70","OLS",0.266187655978005,0.0368022856284011
"71","OLS",0.246462947674729,0.0380962560868293
"72","OLS",0.282813267954106,0.0355764384728467
"73","OLS",0.281958778683986,0.0356279470184569
