"","Model","D47","D47PredErr","Tc","sd","Material"
"1","BLM1_fit",0.6,0.005,58.9616867917276,2.58865907832919,NA
"2","BLM1_fit",0.7,0.005,18.6774079354723,1.71938291808627,NA
"3","BLM1_fit",0.8,0.005,-9.7751206387652,1.26615423388128,NA
"4","BLM1_fit",0.6,0.01,59.0917718655464,4.99728468443836,NA
"5","BLM1_fit",0.7,0.01,18.7386353369755,3.35918018405591,NA
"6","BLM1_fit",0.8,0.01,-9.68666900625684,2.54381465476355,NA
"7","BLM1_fit",0.6,0.02,59.536130399419,9.89171147240036,NA
"8","BLM1_fit",0.7,0.02,19.127443676159,6.70521201440157,NA
"9","BLM1_fit",0.8,0.02,-9.62367638140809,4.90591843084934,NA
"10","BLM1_fit_NoErrors",0.6,0.005,59.0103260967986,2.57032428774396,NA
"11","BLM1_fit_NoErrors",0.7,0.005,18.7054528806327,1.68060686572423,NA
"12","BLM1_fit_NoErrors",0.8,0.005,-9.75926801384792,1.27072272344847,NA
"13","BLM1_fit_NoErrors",0.6,0.01,59.0596151568454,4.99065395911359,NA
"14","BLM1_fit_NoErrors",0.7,0.01,18.7832976135941,3.39121554176442,NA
"15","BLM1_fit_NoErrors",0.8,0.01,-9.67835386100205,2.45271617544906,NA
"16","BLM1_fit_NoErrors",0.6,0.02,59.5649165899652,9.81671649365994,NA
"17","BLM1_fit_NoErrors",0.7,0.02,18.9570207477003,6.76103516406055,NA
"18","BLM1_fit_NoErrors",0.8,0.02,-9.79871520887837,4.95206597629469,NA
"19","BLM3",0.6,0.005,58.9228749434932,2.58150290180924,1
"20","BLM3",0.7,0.005,18.6622100059678,1.69883899902507,1
"21","BLM3",0.8,0.005,-9.77879924118617,1.25022899772391,1
"22","BLM3",0.6,0.01,59.008935888074,4.95350071474924,1
"23","BLM3",0.7,0.01,18.6128163585742,3.35853951947082,1
"24","BLM3",0.8,0.01,-9.72607883162527,2.45967159957112,1
"25","BLM3",0.6,0.02,59.3696728672923,9.95088991772179,1
"26","BLM3",0.7,0.02,19.0095662302683,6.67006295401959,1
"27","BLM3",0.8,0.02,-9.75796635876429,4.86469365455616,1
"28","OLS",0.6,0.005,58.936078840294,2.42130669052398,NA
"29","OLS",0.7,0.005,18.6852454107471,1.64737190247274,NA
"30","OLS",0.8,0.005,-9.76691961541803,1.21289580620811,NA
"31","OLS",0.6,0.01,58.936078840294,4.79041144617139,NA
"32","OLS",0.7,0.01,18.6852454107471,3.26715750355646,NA
"33","OLS",0.8,0.01,-9.76691961541803,2.40918808826757,NA
"34","OLS",0.6,0.02,58.936078840294,9.37932142931555,NA
"35","OLS",0.7,0.02,18.6852454107471,6.42698638325112,NA
"36","OLS",0.8,0.02,-9.76691961541803,4.75345186140538,NA
"37","York",0.6,0.005,57.0432724769065,2.30056273123529,NA
"38","York",0.7,0.005,18.5164112629265,1.58922406052369,NA
"39","York",0.8,0.005,-9.06006975616327,1.18146345325903,NA
"40","York",0.6,0.01,57.0432724769065,4.55369966416993,NA
"41","York",0.7,0.01,18.5164112629265,3.15275007751922,NA
"42","York",0.8,0.01,-9.06006975616327,2.34721087539538,NA
"43","York",0.6,0.02,57.0432724769065,8.92405041630417,NA
"44","York",0.7,0.02,18.5164112629265,6.2054234218503,NA
"45","York",0.8,0.02,-9.06006975616327,4.63292856261012,NA
"46","Deming",0.6,0.005,58.9360788813694,2.42130669316327,NA
"47","Deming",0.7,0.005,18.6852454143829,1.6473719037254,NA
"48","Deming",0.8,0.005,-9.76691963056521,1.21289580687852,NA
"49","Deming",0.6,0.01,58.9360788813694,4.79041145134283,NA
"50","Deming",0.7,0.01,18.6852454143829,3.26715750602096,NA
"51","Deming",0.8,0.01,-9.76691963056521,2.40918808958895,NA
"52","Deming",0.6,0.02,58.9360788813694,9.379321439254,NA
"53","Deming",0.7,0.02,18.6852454143829,6.42698638802108,NA
"54","Deming",0.8,0.02,-9.76691963056521,4.75345186397431,NA
"55","WOLS",0.6,0.005,58.9360788802892,2.42130669309375,NA
"56","WOLS",0.7,0.005,18.685245414287,1.64737190369232,NA
"57","WOLS",0.8,0.005,-9.76691963016691,1.21289580686096,NA
"58","WOLS",0.6,0.01,58.9360788802892,4.79041145120715,NA
"59","WOLS",0.7,0.01,18.685245414287,3.26715750595588,NA
"60","WOLS",0.8,0.01,-9.76691963016691,2.40918808955433,NA
"61","WOLS",0.6,0.02,58.9360788802892,9.37932143899292,NA
"62","WOLS",0.7,0.02,18.685245414287,6.4269863878954,NA
"63","WOLS",0.8,0.02,-9.76691963016691,4.75345186390695,NA
