"","Model","alpha","beta"
"1","OLS",0.268600433357937,0.0368813890275354
"2","OLS",0.267781259944168,0.0369074819754643
"3","OLS",0.266407183051887,0.0370379757502156
"4","OLS",0.257166651299549,0.0377413671554647
"5","OLS",0.26332382798562,0.0372467751592998
"6","OLS",0.26430774171226,0.0371358557291948
"7","OLS",0.262894355159317,0.0372877186065129
"8","OLS",0.262087211287748,0.0373215283295972
"9","OLS",0.263619328167865,0.0372401445094654
"10","OLS",0.262016619508666,0.0373781736927471
"11","OLS",0.265301017182133,0.0371000116518872
"12","OLS",0.265387804611778,0.0369991039356827
"13","OLS",0.267219748148736,0.0369478585330874
"14","OLS",0.261843857285589,0.0373580735453517
"15","OLS",0.26778260670089,0.0369175264279807
"16","OLS",0.268426381011979,0.0367675943742541
"17","OLS",0.259587453152872,0.0375308090390747
"18","OLS",0.267888127279079,0.0367875107359502
"19","OLS",0.259574435435688,0.0375467709777127
"20","OLS",0.264236154446325,0.0371617823331481
"21","OLS",0.265176796044392,0.0370532319271155
"22","OLS",0.261440324919447,0.0373581697786836
"23","OLS",0.265806322496589,0.0369929160081737
"24","OLS",0.26136047874663,0.0373460548317318
"25","OLS",0.262281703550072,0.0373705462862616
"26","OLS",0.264391258896273,0.0372159630642857
"27","OLS",0.266568427233927,0.0369230123190571
"28","OLS",0.261081592387714,0.0374779591752345
"29","OLS",0.262974314590195,0.037301417377746
"30","OLS",0.263859284089642,0.0372273453332695
"31","OLS",0.263644767234121,0.0372331617421082
"32","OLS",0.261685165233452,0.0373626545206352
"33","OLS",0.267113900045948,0.037020879754832
"34","OLS",0.260034159215307,0.0374549376309839
"35","OLS",0.262676763360248,0.0371990061566516
"36","OLS",0.266857447347348,0.036986055769454
"37","OLS",0.265504748301511,0.037070381346796
"38","OLS",0.264038930122554,0.0371543901956245
"39","OLS",0.262200809024853,0.0373640578230254
"40","OLS",0.264113421716395,0.037101356081607
"41","OLS",0.263673588098367,0.0371961471153068
"42","OLS",0.263272413222746,0.0371861532193223
"43","OLS",0.264881717446209,0.0371021518455633
"44","OLS",0.265500287902137,0.0369913244080658
"45","OLS",0.262080657220978,0.0373222297773472
"46","OLS",0.265534147829063,0.0370263600590124
"47","OLS",0.263603896033096,0.0371528954830858
"48","OLS",0.264288523390873,0.0371990652522886
"49","OLS",0.262050800473536,0.037409184799676
"50","OLS",0.266616521983878,0.0369418019106403
"51","OLS",0.26645517111418,0.036973511547114
"52","OLS",0.262360191799799,0.0373590177787419
"53","OLS",0.265799281879939,0.0370191330291569
"54","OLS",0.26373507890756,0.0371947959641992
"55","OLS",0.264063801956928,0.0372208568224287
"56","OLS",0.264568588011077,0.0371532902855362
"57","OLS",0.261329314968725,0.0373932893844187
"58","OLS",0.262247465753266,0.0373556679591785
"59","OLS",0.256887886012169,0.0377864703115597
"60","OLS",0.264832284238946,0.0371059530978901
"61","OLS",0.265756188402386,0.0370865377107846
"62","OLS",0.264003881560397,0.0372065447181754
"63","OLS",0.266126559800363,0.0370249983679587
"64","OLS",0.267194887175921,0.0368902354604365
"65","OLS",0.26392307758864,0.0372142071740202
"66","OLS",0.266098087606332,0.0371139323404752
"67","OLS",0.260294783937844,0.0375033555056746
"68","OLS",0.26657432303986,0.0369629666114017
"69","OLS",0.26925330581734,0.0367941627197716
"70","OLS",0.262159424333697,0.0373173449809669
"71","OLS",0.259633818475691,0.0375766820567163
"72","OLS",0.263487735672568,0.0373081594995678
"73","OLS",0.261783940176798,0.0373559200909097
"74","OLS",0.259063635679569,0.0374969144702578
"75","OLS",0.259023111923859,0.0375646042145355
"76","OLS",0.260415785727732,0.0374878428664862
"77","OLS",0.268390271826632,0.0368618438771248
"78","OLS",0.264577608327133,0.0371438644973339
"79","OLS",0.262821027872369,0.0371983192713884
"80","OLS",0.265698356223206,0.0370206796235691
"81","OLS",0.261063614104057,0.0374119516555782
"82","OLS",0.261175160808402,0.0373955829128677
"83","OLS",0.26441915675443,0.0372596403680553
"84","OLS",0.261206193398131,0.0373837490381115
"85","OLS",0.262917240414227,0.0373101142640242
"86","OLS",0.266797760635123,0.0369785185888305
"87","OLS",0.26167313986386,0.0372387004605811
"88","OLS",0.267236918928228,0.0369581447412426
"89","OLS",0.262382833575112,0.0372839032436288
"90","OLS",0.266695707811157,0.0369628260042453
"91","OLS",0.263849255252451,0.037219329205011
"92","OLS",0.264677228375324,0.0370686107215765
"93","OLS",0.264603479222841,0.037078647405713
"94","OLS",0.263071373051082,0.0372779961883224
"95","OLS",0.263025224611528,0.0372646004263135
"96","OLS",0.262414113047164,0.0373427538600131
"97","OLS",0.265920913570413,0.0370175656326994
"98","OLS",0.260553192699115,0.0374341853214771
"99","OLS",0.265231952813109,0.0370419725103555
"100","OLS",0.262660572806334,0.0372203668027838
"101","OLS",0.266657379509701,0.0369151484149043
"102","OLS",0.264761679282194,0.0370995978716394
"103","OLS",0.258504419062178,0.0376299248944015
"104","OLS",0.266105086879905,0.0370612949195017
"105","OLS",0.263573319149478,0.0373109148943092
"106","OLS",0.263643147839889,0.0372349772608515
"107","OLS",0.261307462645842,0.037395381672958
"108","OLS",0.264978825414769,0.0370443752487476
"109","OLS",0.264557003775941,0.0371243950500209
"110","OLS",0.265700610736922,0.0370006978366427
"111","OLS",0.266198794346302,0.0370687098030664
"112","OLS",0.26900277529516,0.0367933687315263
"113","OLS",0.262289638481899,0.0373384950141683
"114","OLS",0.265567063981212,0.0370404119101039
"115","OLS",0.260495142034045,0.0375296844922941
"116","OLS",0.266938982859089,0.0368879616522507
"117","OLS",0.263895065381094,0.0372132602603636
"118","OLS",0.26482773240925,0.0371983419571577
"119","OLS",0.270250775189066,0.0366513369634319
"120","OLS",0.262765516139318,0.0372763918853534
"121","OLS",0.261543813866675,0.0374107793083954
"122","OLS",0.260271939908436,0.037547676266236
"123","OLS",0.26412306742594,0.0370932250749852
"124","OLS",0.261537976602739,0.0373698776742946
"125","OLS",0.262116056374925,0.0373414756544524
"126","OLS",0.269107883115103,0.036866738037319
"127","OLS",0.262054549740712,0.0373698343003836
"128","OLS",0.262581681408968,0.0373186502034484
"129","OLS",0.26347514344891,0.0372421739779876
"130","OLS",0.260726580264731,0.0374266319720741
"131","OLS",0.266857026211631,0.0368850853539038
"132","OLS",0.265365421649838,0.0371754735805874
"133","OLS",0.256991251682849,0.0377320026717849
"134","OLS",0.260917342823575,0.0374493428530718
"135","OLS",0.266711554133818,0.0370075359593981
"136","OLS",0.260929573173891,0.0374270296009449
"137","OLS",0.265230595494759,0.0370506614880114
"138","OLS",0.266469481490703,0.036961589777376
"139","OLS",0.261856204139444,0.0373604631119781
"140","OLS",0.263196817994047,0.0372814463394627
"141","OLS",0.262997995465879,0.0373189765933126
"142","OLS",0.266670451236285,0.0370026013515085
"143","OLS",0.26292231453677,0.0373107275856999
"144","OLS",0.264055691178745,0.0372257950177134
"145","OLS",0.262440285248349,0.0373767066127803
"146","OLS",0.267565034196882,0.0369764456104542
"147","OLS",0.264692524860232,0.0371300760990621
"148","OLS",0.262407060190702,0.0373961512965908
"149","OLS",0.263864029051358,0.0372221274052581
"150","OLS",0.264988682618897,0.0371358803519713
"151","OLS",0.267095371539052,0.0369310517372843
"152","OLS",0.26442167003429,0.0370958738339326
"153","OLS",0.267410283772415,0.0368998244242715
"154","OLS",0.262933253006787,0.0372170934883423
"155","OLS",0.26706686051805,0.0369913090466724
"156","OLS",0.265753537451999,0.0370796247348593
"157","OLS",0.265388562818901,0.0370473351158471
"158","OLS",0.271395165142116,0.0366943948043094
"159","OLS",0.26337495273265,0.0372411182581139
"160","OLS",0.267546635636635,0.0368496674615087
"161","OLS",0.265430604080212,0.0371179383844582
"162","OLS",0.26207890216275,0.0373395271392489
"163","OLS",0.261049149378939,0.0374658641678756
"164","OLS",0.262168214649517,0.037437757151545
"165","OLS",0.267943336657906,0.0368183027080963
"166","OLS",0.266729076704928,0.0369703825617652
"167","OLS",0.264843247142711,0.0371644919731532
"168","OLS",0.264022327760259,0.037200492722073
"169","OLS",0.263281309977186,0.0372733687930058
"170","OLS",0.265708356182733,0.0370694287496416
"171","OLS",0.261494670974992,0.0373916700856253
"172","OLS",0.267020322902401,0.037058249222285
"173","OLS",0.260868040611323,0.0374378212150834
"174","OLS",0.262426296865332,0.0373423868857752
"175","OLS",0.264592015238632,0.0371203036883782
"176","OLS",0.264552503416164,0.0371593505291083
"177","OLS",0.260425749613389,0.0374728686299971
"178","OLS",0.262339977515966,0.037370094445284
"179","OLS",0.262986811048404,0.037336686760178
"180","OLS",0.262007046752969,0.0373057027544654
"181","OLS",0.265885751207274,0.0371465668982109
"182","OLS",0.267046277463635,0.0369503383704509
"183","OLS",0.259481535227165,0.0374996168167809
"184","OLS",0.264786328464007,0.0371617468855327
"185","OLS",0.260520764726496,0.0374784980236976
"186","OLS",0.264288043670413,0.037160508061556
"187","OLS",0.260602814929852,0.0374854357866251
"188","OLS",0.261243115714603,0.0374123936592679
"189","OLS",0.262803279609123,0.0371865241493676
"190","OLS",0.262704534614612,0.0373707669960762
"191","OLS",0.264879094968856,0.0370801958528535
"192","OLS",0.262489166828166,0.0373498486548102
"193","OLS",0.265225293833044,0.0370849610351241
"194","OLS",0.265839000887277,0.0370371031714906
"195","OLS",0.267523711838854,0.0369776970228206
"196","OLS",0.262390842874067,0.0373102404424865
"197","OLS",0.265876295637077,0.0370748131523881
"198","OLS",0.260801689906587,0.0374591378779313
"199","OLS",0.263543622281154,0.0372392264337215
"200","OLS",0.265979861791236,0.0370323322296317
"201","OLS",0.261890023509853,0.0373319406190981
"202","OLS",0.267321175626079,0.0369205554053537
"203","OLS",0.269655325927857,0.0368042588235415
"204","OLS",0.263255518323334,0.0372542425393486
"205","OLS",0.258289754893194,0.0377182925585009
"206","OLS",0.262759013682097,0.0373038208386487
"207","OLS",0.266974073172649,0.0369948202586134
"208","OLS",0.260632519072272,0.0373757829366823
"209","OLS",0.264054212114662,0.0371769699170388
"210","OLS",0.263637651646443,0.037177719999084
"211","OLS",0.268157525941656,0.036877360248587
"212","OLS",0.258953438361027,0.0375741323684189
"213","OLS",0.263124777750086,0.037320881486727
"214","OLS",0.260194005991919,0.0375356581964931
"215","OLS",0.261645707888928,0.0374193350239605
"216","OLS",0.261222235038531,0.037338661678874
"217","OLS",0.264695099827756,0.0370913342198622
"218","OLS",0.267718976643604,0.0368822648492259
"219","OLS",0.264925721088774,0.0370653396199141
"220","OLS",0.263919970254682,0.0372437818216897
"221","OLS",0.263208140648854,0.0372762941958729
"222","OLS",0.258571789595155,0.0376237820491129
"223","OLS",0.262864969582646,0.0373365672811662
"224","OLS",0.259187712608321,0.0375971255375723
"225","OLS",0.265656932668014,0.0369989866181909
"226","OLS",0.268743118979647,0.0368468116128868
"227","OLS",0.263585205295387,0.0371918501313977
"228","OLS",0.263877922329197,0.0372122879863453
"229","OLS",0.26623444971351,0.0369315544907915
"230","OLS",0.26100774464633,0.0373482528431432
"231","OLS",0.262980161020934,0.0372196705999203
"232","OLS",0.266910159790888,0.0369986239303011
"233","OLS",0.268485149622027,0.0368440148817034
"234","OLS",0.261095254141067,0.0374572907572266
"235","OLS",0.260319925410468,0.0374530531339579
"236","OLS",0.267574065837405,0.0369716954153255
"237","OLS",0.264833465508286,0.0371333321348217
"238","OLS",0.262451410166264,0.0373378209871147
"239","OLS",0.263831684527633,0.037157668412906
"240","OLS",0.264999313048086,0.0371656702957098
"241","OLS",0.263660009596323,0.0371782992511622
"242","OLS",0.26529630470827,0.0371011150443599
"243","OLS",0.262391657447645,0.0373647278758385
"244","OLS",0.263748130386342,0.037234932246652
"245","OLS",0.264219176141366,0.0371463470128809
"246","OLS",0.26230676289077,0.0372941525822778
"247","OLS",0.261513653237593,0.0374850344484485
"248","OLS",0.265188487491587,0.037087509100542
"249","OLS",0.260602296054648,0.0374458922425626
"250","OLS",0.263711712786137,0.0372068149968967
"251","OLS",0.263137667349721,0.0372944852595117
"252","OLS",0.263930539574569,0.0371161785178927
"253","OLS",0.260946730363697,0.037422411354401
"254","OLS",0.262153424110104,0.0373139851859679
"255","OLS",0.268180722986793,0.036838663869868
"256","OLS",0.266910002357761,0.0371030180010135
"257","OLS",0.263356528386694,0.0372196387630178
"258","OLS",0.263790469425482,0.0371743444166721
"259","OLS",0.26595744636296,0.0369952177873066
"260","OLS",0.268792598389081,0.0368415148946414
"261","OLS",0.26597548586033,0.037068870179671
"262","OLS",0.264942376975147,0.0370869092738722
"263","OLS",0.261450263011678,0.0372977811444076
"264","OLS",0.262670343685348,0.0373377186938329
"265","OLS",0.260444612280775,0.0374081887317232
"266","OLS",0.258711499749542,0.0375848115191271
"267","OLS",0.268161983402253,0.0367902304954569
"268","OLS",0.259139006752308,0.0376202535493806
"269","OLS",0.263753843188434,0.0371741012840481
"270","OLS",0.265534806033529,0.0370634280311314
"271","OLS",0.262516928707429,0.0373139900013127
"272","OLS",0.261606542743783,0.0373539254978776
"273","OLS",0.257662911150083,0.0376883768623341
"274","OLS",0.260182469715109,0.0375272417434152
"275","OLS",0.265659726322508,0.0370906171742871
"276","OLS",0.265866597553775,0.0370603506818456
"277","OLS",0.270741898160815,0.0366680156699638
"278","OLS",0.258991143669513,0.0375013619099001
"279","OLS",0.2648741562884,0.0370718614061653
"280","OLS",0.261986890717969,0.0372558993425683
"281","OLS",0.262268988029819,0.0373146776341845
"282","OLS",0.26568224184773,0.0370851927154362
"283","OLS",0.263849674064066,0.0371963072892315
"284","OLS",0.263160464075121,0.0372240594451693
"285","OLS",0.263540066177255,0.0372046616344744
"286","OLS",0.259596657034886,0.0375068038373572
"287","OLS",0.265138049601867,0.0370322000036425
"288","OLS",0.264624063404497,0.0371611066711181
"289","OLS",0.259453633326297,0.0374801475200782
"290","OLS",0.260510201098805,0.037537314430218
"291","OLS",0.261178178566873,0.0374377682203922
"292","OLS",0.264459748776749,0.0371455112982663
"293","OLS",0.258256211589407,0.0376081924452611
"294","OLS",0.26379735491739,0.037125540261159
"295","OLS",0.261513024429178,0.0374308727674765
"296","OLS",0.265705278874584,0.0371095095887095
"297","OLS",0.26485307391406,0.0371428046980855
"298","OLS",0.259228587557555,0.0375137746923681
"299","OLS",0.261955727495738,0.0372356638720204
"300","OLS",0.269823772843488,0.0367028689808382
"301","OLS",0.262448901768566,0.0372920967840928
"302","OLS",0.268722415862872,0.0368204553337124
"303","OLS",0.265264574257392,0.0371395957995904
"304","OLS",0.266119582712252,0.0369241744345772
"305","OLS",0.264679913102416,0.0371489912904764
"306","OLS",0.264002386009871,0.0372545723870185
"307","OLS",0.263458021764577,0.0372003782075072
"308","OLS",0.268476435590238,0.0368309759622599
"309","OLS",0.262909030496983,0.0372900692007441
"310","OLS",0.262250709510471,0.0373375466164071
