"","Model","alpha","beta"
"1","OLS",0.261107114966495,0.0374853271044004
"2","OLS",0.264685777198344,0.0372958290816083
"3","OLS",0.248795129655016,0.0382996782047872
"4","OLS",0.260889020569107,0.0376973144045521
"5","OLS",0.270802820449015,0.0367973739422728
"6","OLS",0.256499867537121,0.0377030867732382
"7","OLS",0.268452480594339,0.0367407897407041
"8","OLS",0.269079296110784,0.0369301797883079
"9","OLS",0.262881058767994,0.0369341004739758
"10","OLS",0.268685162439757,0.0368239564936481
"11","OLS",0.294040929080275,0.0348957356057939
"12","OLS",0.271893654254114,0.0366462489515782
"13","OLS",0.252592266780218,0.0380693161933331
"14","OLS",0.267144208564071,0.0368715834326531
"15","OLS",0.266028681501471,0.0369655714011293
"16","OLS",0.246504106039713,0.0386421160007047
"17","OLS",0.257185146698206,0.0375103134211099
"18","OLS",0.267926413104387,0.0367910101643949
"19","OLS",0.262083673537966,0.0372077416732946
"20","OLS",0.263211906214588,0.0370773787194482
"21","OLS",0.278721998894687,0.036094651084946
"22","OLS",0.24071071465117,0.0388790606490799
"23","OLS",0.259593516964743,0.0376608501258453
"24","OLS",0.259440979005743,0.037430848869752
"25","OLS",0.271665487378118,0.0365421437384194
"26","OLS",0.258981228180402,0.0377599891237163
"27","OLS",0.269169020577387,0.0369522611077279
"28","OLS",0.267870091747863,0.0370887288478138
"29","OLS",0.259670635880235,0.0372239927644825
"30","OLS",0.250739244800777,0.0382094219762789
"31","OLS",0.272596684230556,0.0364463500011382
"32","OLS",0.256606977715717,0.0378496036176678
"33","OLS",0.267107375728042,0.0371620224989321
"34","OLS",0.260421140944088,0.0374454948636221
"35","OLS",0.261708356377103,0.0372858012593874
"36","OLS",0.282033073930136,0.0354594041938476
"37","OLS",0.263443824536237,0.0373405682656695
"38","OLS",0.255983786706552,0.0376965334595532
"39","OLS",0.265027008753718,0.0370048494287653
"40","OLS",0.254983560698825,0.0379895939100522
"41","OLS",0.260900460670483,0.0375165106939607
"42","OLS",0.288832812740922,0.0352015511413936
"43","OLS",0.283358531416262,0.0357541501865644
"44","OLS",0.262528165149564,0.0373157664749418
"45","OLS",0.277461893421427,0.0362996295083242
"46","OLS",0.266043333239958,0.0370551389278248
"47","OLS",0.253503243756661,0.0381116094403701
"48","OLS",0.27604938410417,0.0362217882778708
"49","OLS",0.246055235449606,0.0388233866537612
"50","OLS",0.265899534701924,0.0373263745118558
"51","OLS",0.265053156411156,0.0370538994614256
"52","OLS",0.264531630650274,0.036929639612935
"53","OLS",0.255064135323618,0.0377500355027176
"54","OLS",0.266836035884047,0.0372273939718168
"55","OLS",0.265565294626189,0.0370205586565356
"56","OLS",0.259581239807805,0.0377375160685792
"57","OLS",0.257455930989252,0.0375879142422859
"58","OLS",0.259091572041727,0.0373892404538394
"59","OLS",0.258118661785853,0.0376916300925526
"60","OLS",0.263560513018223,0.0371363523106331
"61","OLS",0.255614135424961,0.0380220180722916
"62","OLS",0.259406374001908,0.0374912986215926
"63","OLS",0.250754869987812,0.0382316310010362
"64","OLS",0.270221807962971,0.0367167666810759
"65","OLS",0.270831920183727,0.0367280952638233
"66","OLS",0.259576185045829,0.0376612058198831
"67","OLS",0.249758190286371,0.0385129078781806
"68","OLS",0.262915141600844,0.0374038621394666
"69","OLS",0.25468115052468,0.0379739499958425
"70","OLS",0.273864798638107,0.0363501212280955
"71","OLS",0.272713505242319,0.0366196543032738
"72","OLS",0.274540414631513,0.0361498379605754
"73","OLS",0.293513841557839,0.0349832757556472
"74","OLS",0.267420673384112,0.0369421174757112
"75","OLS",0.263400746409408,0.037352402810426
"76","OLS",0.254353416857836,0.0380762148540567
"77","OLS",0.247434795436933,0.0385581701771113
"78","OLS",0.261670965603866,0.0374129428555036
"79","OLS",0.276760725791086,0.0360196176544371
"80","OLS",0.257756359393563,0.037529371615752
"81","OLS",0.266228773519786,0.0369835513309915
"82","OLS",0.270158177429135,0.0369826808441362
"83","OLS",0.246107455335806,0.038701188207306
"84","OLS",0.265036271868887,0.0369814790953841
"85","OLS",0.268100652515077,0.0367887501209751
"86","OLS",0.279040420607809,0.0360625415298009
"87","OLS",0.258848663726474,0.0373560292771555
"88","OLS",0.252961312228967,0.038133201730603
"89","OLS",0.26234322283574,0.0371664416465613
"90","OLS",0.246865067570773,0.03842767913313
"91","OLS",0.26639406055395,0.0370251290768371
"92","OLS",0.265661578341533,0.0369617720633718
