"","Model","D47","D47PredErr","Tc","sd","Material"
"1","BLM1_fit",0.6,0.005,59.50928839314,2.46506701550557,NA
"2","BLM1_fit",0.7,0.005,18.9477686093038,1.70303394337779,NA
"3","BLM1_fit",0.8,0.005,-9.710180140088,1.22224508682137,NA
"4","BLM1_fit",0.6,0.01,59.6424123754116,4.86109502249257,NA
"5","BLM1_fit",0.7,0.01,18.9633937708403,3.38403252518399,NA
"6","BLM1_fit",0.8,0.01,-9.74938027929901,2.49446026949048,NA
"7","BLM1_fit",0.6,0.02,59.7364424669386,10.0042899441154,NA
"8","BLM1_fit",0.7,0.02,18.9325421211169,6.66705313079307,NA
"9","BLM1_fit",0.8,0.02,-9.71249226548028,4.92515739560942,NA
"10","BLM1_fit_NoErrors",0.6,0.005,59.5843633411439,2.45531574403997,NA
"11","BLM1_fit_NoErrors",0.7,0.005,18.8713049592814,1.71596156142612,NA
"12","BLM1_fit_NoErrors",0.8,0.005,-9.7371320541685,1.21127613875359,NA
"13","BLM1_fit_NoErrors",0.6,0.01,59.7772019087865,4.9681389127515,NA
"14","BLM1_fit_NoErrors",0.7,0.01,18.9854698739622,3.37538249219129,NA
"15","BLM1_fit_NoErrors",0.8,0.01,-9.65439521331735,2.46633874883215,NA
"16","BLM1_fit_NoErrors",0.6,0.02,59.8338357792351,10.0255755758776,NA
"17","BLM1_fit_NoErrors",0.7,0.02,19.2430529763957,6.88415825825942,NA
"18","BLM1_fit_NoErrors",0.8,0.02,-9.70303653853338,4.90438739757184,NA
"19","BLM3",0.6,0.005,59.5898254832419,2.44128337166179,1
"20","BLM3",0.7,0.005,18.9273236521087,1.66897238903819,1
"21","BLM3",0.8,0.005,-9.76048288823451,1.2381409325044,1
"22","BLM3",0.6,0.01,59.7831025903771,4.87555637651668,1
"23","BLM3",0.7,0.01,19.0231459844102,3.39840355716409,1
"24","BLM3",0.8,0.01,-9.67852363387538,2.43444612602769,1
"25","BLM3",0.6,0.02,60.0125965293384,10.0554701838849,1
"26","BLM3",0.7,0.02,19.1217096978127,6.69397153211419,1
"27","BLM3",0.8,0.02,-9.55763681609112,4.90674505153177,1
"28","OLS",0.6,0.005,59.546956911166,2.44810743135878,NA
"29","OLS",0.7,0.005,18.9124870923217,1.66038862823063,NA
"30","OLS",0.8,0.005,-9.73713746841969,1.22006691058584,NA
"31","OLS",0.6,0.01,59.546956911166,4.84295594321787,NA
"32","OLS",0.7,0.01,18.9124870923217,3.29277731285606,NA
"33","OLS",0.8,0.01,-9.73713746841969,2.42333617158567,NA
"34","OLS",0.6,0.02,59.546956911166,9.48039631003439,NA
"35","OLS",0.7,0.02,18.9124870923217,6.47663776810413,NA
"36","OLS",0.8,0.02,-9.73713746841969,4.78099745782333,NA
"37","York",0.6,0.005,59.243705255908,2.42863784553776,NA
"38","York",0.7,0.005,18.8850121873101,1.65117778280711,NA
"39","York",0.8,0.005,-9.62667031785389,1.21514957842942,NA
"40","York",0.6,0.01,59.243705255908,4.80480735359566,NA
"41","York",0.7,0.01,18.8850121873101,3.27466111271843,NA
"42","York",0.8,0.01,-9.62667031785389,2.41364294154198,NA
"43","York",0.6,0.02,59.243705255908,9.40709971710493,NA
"44","York",0.7,0.02,18.8850121873101,6.4415775873764,NA
"45","York",0.8,0.02,-9.62667031785389,4.76215746019778,NA
"46","Deming",0.6,0.005,59.5469568981469,2.44810743052199,NA
"47","Deming",0.7,0.005,18.9124870911434,1.6603886278358,NA
"48","Deming",0.8,0.005,-9.73713746368668,1.22006691037507,NA
"49","Deming",0.6,0.01,59.5469568981469,4.84295594157885,NA
"50","Deming",0.7,0.01,18.9124870911434,3.29277731207924,NA
"51","Deming",0.8,0.01,-9.73713746368668,2.42333617117055,NA
"52","Deming",0.6,0.02,59.5469568981469,9.48039630688521,NA
"53","Deming",0.7,0.02,18.9124870911434,6.47663776660067,NA
"54","Deming",0.8,0.02,-9.73713746368668,4.78099745701661,NA
"55","WOLS",0.6,0.005,59.5469569048747,2.44810743095422,NA
"56","WOLS",0.7,0.005,18.9124870917524,1.66038862803981,NA
"57","WOLS",0.8,0.005,-9.73713746613248,1.22006691048398,NA
"58","WOLS",0.6,0.01,59.5469569048747,4.84295594242576,NA
"59","WOLS",0.7,0.01,18.9124870917524,3.29277731248061,NA
"60","WOLS",0.8,0.01,-9.73713746613248,2.42333617138507,NA
"61","WOLS",0.6,0.02,59.5469569048747,9.4803963085127,NA
"62","WOLS",0.7,0.02,18.9124870917524,6.47663776737744,NA
"63","WOLS",0.8,0.02,-9.73713746613248,4.78099745743322,NA
