"","Model","alpha","beta"
"1","OLS",0.241813727854017,0.0383581458788327
"2","OLS",0.222030265696708,0.0407439147666411
"3","OLS",0.286904119521809,0.0359574410912145
"4","OLS",0.229015671966829,0.0410913128959613
"5","OLS",0.25928650544667,0.036756431311172
"6","OLS",0.206922701049818,0.0414340844763766
"7","OLS",0.332979185643254,0.0304784207830163
"8","OLS",0.204710918709375,0.0424341881599466
"9","OLS",0.337176379527836,0.0311076582111968
"10","OLS",0.277318748663117,0.0346354841123987
"11","OLS",0.202445602664156,0.0425923497655373
"12","OLS",0.288144971989154,0.035468711405428
"13","OLS",0.21870566844966,0.040422861484222
"14","OLS",0.298733735217401,0.0360983676967325
"15","OLS",0.263149358165043,0.0378727039505594
"16","OLS",0.298983176945088,0.0343177810806724
"17","OLS",0.261181819164089,0.0392841388577131
"18","OLS",0.257269204454095,0.037619441907028
"19","OLS",0.329101182710169,0.0307283838940075
"20","OLS",0.211216621335815,0.0424989650825776
"21","OLS",0.221797170538945,0.0432441225651269
"22","OLS",0.260618594430947,0.0369165468066
"23","OLS",0.216501597941938,0.0399085200821036
"24","OLS",0.382483927199133,0.0298399575930436
"25","OLS",0.193743549075028,0.0419221703666236
"26","OLS",0.32821782877524,0.0333340366314775
"27","OLS",0.209836435517496,0.0413342359137203
"28","OLS",0.225213346224077,0.0407769895550941
"29","OLS",0.234556462176243,0.0394018995586575
"30","OLS",0.244825759143944,0.038534318483814
"31","OLS",0.145388575023738,0.0472050921311375
"32","OLS",0.315418092080883,0.032927779378943
"33","OLS",0.262843113268999,0.0360257878513037
"34","OLS",0.274421832653381,0.0361692015303771
"35","OLS",0.190722142012862,0.0419520594757863
"36","OLS",0.282428537127363,0.0360912816825456
"37","OLS",0.229321586535953,0.039112069728653
"38","OLS",0.275661552493065,0.0357538329857513
"39","OLS",0.277455311524466,0.0364851214059825
"40","OLS",0.203654973627693,0.0428600094111138
"41","OLS",0.239666539435584,0.0392405052897387
"42","OLS",0.314481068652172,0.0335301371483307
"43","OLS",0.264318982968392,0.0382053977071388
"44","OLS",0.251545793117421,0.0373672360493029
"45","OLS",0.388023498110171,0.0269700626319687
"46","OLS",0.270530174441553,0.0366281423122555
"47","OLS",0.203613743348222,0.041329763414537
"48","OLS",0.26904062198228,0.0362375111729209
"49","OLS",0.298802522681018,0.0354377093569911
"50","OLS",0.237770852271241,0.0405305774486694
"51","OLS",0.217935665155597,0.0407980858903634
"52","OLS",0.208156919589686,0.0418312291447895
"53","OLS",0.381415363532185,0.027667893241715
"54","OLS",0.300365350759898,0.034455831380839
"55","OLS",0.281469459578452,0.0356049198650164
"56","OLS",0.303781644890314,0.0337731535051368
"57","OLS",0.26442550760948,0.0372262768886776
"58","OLS",0.246932979655514,0.0379360139920302
"59","OLS",0.305148359228012,0.0342353013854224
"60","OLS",0.219555470893885,0.0414491485561019
"61","OLS",0.218245111790475,0.0401291381960741
"62","OLS",0.20564385143701,0.0411551278602011
"63","OLS",0.272448850847675,0.0366553851000608
"64","OLS",0.247934154625215,0.0382708529239378
"65","OLS",0.265356745945962,0.0374855787286296
"66","OLS",0.265922859780854,0.0379402315830097
"67","OLS",0.212544797053856,0.0412630353710286
"68","OLS",0.24864770488889,0.0391043800063945
"69","OLS",0.249297797842903,0.0367082696219807
"70","OLS",0.216797367452826,0.0413167838450305
