"","Model","Sample","D47","D47error","meanTemp","Temp_L","Temp_H"
"1","OLS_classic","Test1",0.6,0.005,58.8677562988905,54.1298275973768,63.6056850004041
"2","OLS_classic","Test2",0.7,0.005,18.6737488905196,15.4486402674898,21.8988575135494
"3","OLS_classic","Test3",0.8,0.005,-9.74972478009602,-12.1249849164451,-7.37446464374697
"4","OLS_classic","Test4",0.6,0.01,58.8677562988905,49.4939003435744,68.2416122542066
"5","OLS_classic","Test5",0.7,0.01,18.6737488905196,12.277478398557,25.0700193824822
"6","OLS_classic","Test6",0.8,0.01,-9.74972478009602,-14.4677591573122,-5.03169040287983
"7","OLS_classic","Test7",0.6,0.02,58.8677562988905,40.513793674781,77.221718923
"8","OLS_classic","Test8",0.7,0.02,18.6737488905196,6.09110220143139,31.2563955796077
"9","OLS_classic","Test9",0.8,0.02,-9.74972478009602,-19.0587622157272,-0.440687344464877
"10","OLS_simple","Test1",0.6,0.005,58.8677562988905,32.975517831405,92.6811436975867
"11","OLS_simple","Test2",0.7,0.005,18.6737488905196,0.623511108432126,40.8404350552739
"12","OLS_simple","Test3",0.8,0.005,-9.74972478009602,-23.2504870882711,6.20572597853004
"13","OLS_simple","Test4",0.6,0.01,58.8677562988905,32.975517831405,92.6811436975867
"14","OLS_simple","Test5",0.7,0.01,18.6737488905196,0.623511108432126,40.8404350552739
"15","OLS_simple","Test6",0.8,0.01,-9.74972478009602,-23.2504870882711,6.20572597853004
"16","OLS_simple","Test7",0.6,0.02,58.8677562988905,32.975517831405,92.6811436975867
"17","OLS_simple","Test8",0.7,0.02,18.6737488905196,0.623511108432126,40.8404350552739
"18","OLS_simple","Test9",0.8,0.02,-9.74972478009602,-23.2504870882711,6.20572597853004
"19","York_classic","Test1",0.6,0.005,58.497523574317,53.8857456852536,63.1093014633804
"20","York_classic","Test2",0.7,0.005,19.2078997011296,16.0411636726315,22.3746357296277
"21","York_classic","Test3",0.8,0.005,-8.77577032187406,-11.1209726616827,-6.43056798206538
"22","York_classic","Test4",0.6,0.01,58.497523574317,49.3707531503934,67.6242939982405
"23","York_classic","Test5",0.7,0.01,19.2078997011296,12.926355742339,25.4894436599202
"24","York_classic","Test6",0.8,0.01,-8.77577032187406,-13.4346180752448,-4.11692256850332
"25","York_classic","Test7",0.6,0.02,58.497523574317,40.6179286427442,76.3771185058897
"26","York_classic","Test8",0.7,0.02,19.2078997011296,6.84696132641648,31.5688380758427
"27","York_classic","Test9",0.8,0.02,-8.77577032187406,-17.9700221855385,0.418481541790396
"28","York_simple","Test1",0.6,0.005,58.497523574317,33.1555775134532,91.3888182937181
"29","York_simple","Test2",0.7,0.005,19.2078997011296,1.4032574609185,40.9962884884217
"30","York_simple","Test3",0.8,0.005,-8.77577032187406,-22.1602512682336,7.00702197054568
"31","York_simple","Test4",0.6,0.01,58.497523574317,33.1555775134532,91.3888182937181
"32","York_simple","Test5",0.7,0.01,19.2078997011296,1.4032574609185,40.9962884884217
"33","York_simple","Test6",0.8,0.01,-8.77577032187406,-22.1602512682336,7.00702197054568
"34","York_simple","Test7",0.6,0.02,58.497523574317,33.1555775134532,91.3888182937181
"35","York_simple","Test8",0.7,0.02,19.2078997011296,1.4032574609185,40.9962884884217
"36","York_simple","Test9",0.8,0.02,-8.77577032187406,-22.1602512682336,7.00702197054568
"37","Deming_classic","Test1",0.6,0.005,58.5252390528913,53.9106302465451,63.1398478592375
"38","Deming_classic","Test2",0.7,0.005,19.2148695952212,16.0467502741159,22.3829889163265
"39","Deming_classic","Test3",0.8,0.005,-8.7795004090699,-11.125462750781,-6.43353806735881
"40","Deming_classic","Test4",0.6,0.01,58.5252390528913,49.3929168377984,67.6575612679842
"41","Deming_classic","Test5",0.7,0.01,19.2148695952212,12.9306029541029,25.4991362363396
"42","Deming_classic","Test6",0.8,0.01,-8.7795004090699,-13.4398473600261,-4.1191534581137
"43","Deming_classic","Test7",0.6,0.02,58.5252390528913,40.634958979065,76.4155191267176
"44","Deming_classic","Test8",0.7,0.02,19.2148695952212,6.84865453576898,31.5810846546734
"45","Deming_classic","Test9",0.8,0.02,-8.7795004090699,-17.9766701968854,0.41766937874565
"46","Deming_simple","Test1",0.6,0.005,58.5252390528913,33.1712429282144,91.436026720665
"47","Deming_simple","Test2",0.7,0.005,19.2148695952212,1.40458775952578,41.0115906745805
"48","Deming_simple","Test3",0.8,0.005,-8.77950040906984,-22.1668364576926,7.00730262054037
"49","Deming_simple","Test4",0.6,0.01,58.5252390528913,33.1712429282144,91.436026720665
"50","Deming_simple","Test5",0.7,0.01,19.2148695952212,1.40458775952578,41.0115906745805
"51","Deming_simple","Test6",0.8,0.01,-8.77950040906984,-22.1668364576926,7.00730262054037
"52","Deming_simple","Test7",0.6,0.02,58.5252390528913,33.1712429282144,91.436026720665
"53","Deming_simple","Test8",0.7,0.02,19.2148695952212,1.40458775952578,41.0115906745805
