"","Model","alpha","beta"
"1","OLS",0.256832651085544,0.0376554409417314
"2","OLS",0.258799895837443,0.0375547836221845
"3","OLS",0.266956099837721,0.0370128954527811
"4","OLS",0.254801720964984,0.0378216561741152
"5","OLS",0.261998668021407,0.0372984590297401
"6","OLS",0.263273661609205,0.037121717491283
"7","OLS",0.255895204093626,0.0378162562667659
"8","OLS",0.259638747997921,0.0375973885657942
"9","OLS",0.254125162777571,0.0379356499006404
"10","OLS",0.264796974498581,0.0370884852709627
"11","OLS",0.270135170983871,0.0367689865087719
"12","OLS",0.262736573769136,0.0372670515835919
"13","OLS",0.266682617591319,0.0368899993699688
"14","OLS",0.267619925655792,0.036859057107828
"15","OLS",0.25330001315533,0.0380386325180092
"16","OLS",0.254011735465362,0.0379202283746111
"17","OLS",0.266625032018542,0.0369013686109328
"18","OLS",0.258646893277582,0.0376361654887021
"19","OLS",0.254711189269177,0.037895128264189
"20","OLS",0.246587236327788,0.038443496870447
"21","OLS",0.255641711642431,0.037835275709749
"22","OLS",0.259739569855113,0.0374694595994451
"23","OLS",0.258777966843212,0.0376269619727537
"24","OLS",0.255724368392887,0.03765470467193
"25","OLS",0.25753138653429,0.0376110792078267
"26","OLS",0.261367629309246,0.0373411740920837
"27","OLS",0.258300217899427,0.0377353975380192
"28","OLS",0.267903981503457,0.0367930867290212
"29","OLS",0.257856763288524,0.0377776612438842
"30","OLS",0.26642563301212,0.0369896820032701
"31","OLS",0.25735292153173,0.0377645463483598
"32","OLS",0.263713744333835,0.0372330362214092
"33","OLS",0.257419211030741,0.0376314656283007
"34","OLS",0.253320694731509,0.0381690115619358
"35","OLS",0.267748144297784,0.0368389881632527
"36","OLS",0.256256787226539,0.0379074521416708
"37","OLS",0.262585293757734,0.0373582743520575
"38","OLS",0.263267277713753,0.0372091591882853
"39","OLS",0.26355909026308,0.0372251270369972
"40","OLS",0.26791579468129,0.0369696114195198
"41","OLS",0.264529983015533,0.0370060003819857
"42","OLS",0.262314186751893,0.037254376466292
"43","OLS",0.262882202054302,0.0373179409909434
"44","OLS",0.256198681200457,0.0376242183495813
"45","OLS",0.262349221356111,0.0372254454895605
"46","OLS",0.257681194011991,0.0377051509065246
"47","OLS",0.259622279200682,0.0374997242046978
"48","OLS",0.269105104669837,0.0366570254163629
"49","OLS",0.26134331145662,0.0373514383765853
"50","OLS",0.253029360981398,0.0379149685636942
"51","OLS",0.253141784018475,0.0379456080990296
"52","OLS",0.262688630523648,0.037215658875634
"53","OLS",0.256940967699253,0.0376451750382559
"54","OLS",0.26297844876625,0.0372194574292681
"55","OLS",0.256915740153157,0.0377718853167975
"56","OLS",0.259474426652255,0.0375338747734941
"57","OLS",0.257401315628617,0.0376976402892791
"58","OLS",0.269098601480846,0.0367075683377212
"59","OLS",0.260138903480727,0.0375057174368324
"60","OLS",0.260105636129458,0.0375444099529835
