"","Model","alpha","beta"
"1","OLS",0.267675008209954,0.036804740154052
"2","OLS",0.253883505617613,0.0380293681426509
"3","OLS",0.276029268569135,0.0360751046262137
"4","OLS",0.250026697322583,0.03846836060355
"5","OLS",0.265869332039936,0.0369713086672951
"6","OLS",0.25261630898831,0.0382767427506366
"7","OLS",0.249218414507946,0.0383725739165325
"8","OLS",0.260131080216776,0.0375765550174246
"9","OLS",0.25296062975604,0.0381384276741102
"10","OLS",0.263611141220214,0.0368390797230682
"11","OLS",0.264425834367872,0.0372949261111881
"12","OLS",0.26619325809484,0.0368761466680212
"13","OLS",0.276641535858081,0.0363073731929534
"14","OLS",0.271827259710684,0.0367941557880627
"15","OLS",0.269325476604094,0.0367755304975129
"16","OLS",0.277299520069262,0.0361715604295477
"17","OLS",0.262485708225752,0.0374699172687636
"18","OLS",0.263580375196262,0.0372874837685524
"19","OLS",0.263748716876658,0.037482097352127
"20","OLS",0.260707901564164,0.0376217278398657
"21","OLS",0.276182174247945,0.0362771999767678
"22","OLS",0.279754274178779,0.0361067682348401
"23","OLS",0.262049078019102,0.0372587390310071
"24","OLS",0.264422827628869,0.0371716705166788
"25","OLS",0.260141773755413,0.0375991927443954
"26","OLS",0.278935692266424,0.0363072082418694
"27","OLS",0.277841812873306,0.0361130595098473
"28","OLS",0.253974068872006,0.0379534853678371
"29","OLS",0.268675936711156,0.0370267688999731
"30","OLS",0.273745008061645,0.0362986975353039
"31","OLS",0.263245271196643,0.0369552149485357
"32","OLS",0.268775112068819,0.0369925988315754
"33","OLS",0.27574050433198,0.0364557935071498
"34","OLS",0.265599754442311,0.0370766478289625
"35","OLS",0.265819807933122,0.0367843522867468
"36","OLS",0.273591301531928,0.0365530611726259
"37","OLS",0.250414493749071,0.0380856169326238
"38","OLS",0.2687808003982,0.0367533034103031
"39","OLS",0.273029614723691,0.0365032540208966
"40","OLS",0.254628145782997,0.0380033257751453
"41","OLS",0.265559320958221,0.0370723389630549
"42","OLS",0.271074736023408,0.0366785740358228
"43","OLS",0.264775700732398,0.037216782402788
"44","OLS",0.276457321410549,0.0360589870795163
"45","OLS",0.271423725957042,0.0363460811166016
"46","OLS",0.26555503540087,0.0368736329767747
"47","OLS",0.27050819389017,0.0368497213557247
"48","OLS",0.264685632419164,0.0372200122636862
"49","OLS",0.263908575569239,0.0370540286444857
"50","OLS",0.2723834597173,0.0368172115329135
"51","OLS",0.273300337986093,0.0362895023715806
"52","OLS",0.269526881222364,0.0368195453476802
"53","OLS",0.271501832076615,0.0366325273622247
"54","OLS",0.261870740489485,0.0377248861243439
"55","OLS",0.269156318887868,0.036701276727184
"56","OLS",0.274724732812988,0.0364682271698935
"57","OLS",0.278202234455645,0.0363295657753281
"58","OLS",0.255744434920118,0.0377777338787627
"59","OLS",0.269888733046775,0.0365269036879146
"60","OLS",0.267508173377394,0.0371853333482757
"61","OLS",0.253684941100701,0.0383026886187883
"62","OLS",0.266879108386698,0.0370576603885592
"63","OLS",0.259559909514003,0.0375680817595597
"64","OLS",0.260365909042761,0.0372696072278606
"65","OLS",0.2604612555221,0.0374709191704884
"66","OLS",0.264816699199174,0.0371872074789972
"67","OLS",0.266665076113414,0.0370445902197345
"68","OLS",0.264415757592427,0.0370531972177797
"69","OLS",0.259911391358489,0.0377454949553951
"70","OLS",0.277072000861605,0.0365403852708202
"71","OLS",0.264632174258381,0.0371690518988652
"72","OLS",0.256907674024578,0.0379756316166634
"73","OLS",0.275550826268692,0.0358885790197845
"74","OLS",0.255827429735237,0.0379083213979837
"75","OLS",0.243993111670326,0.0390465795614531
"76","OLS",0.256721581268493,0.037463817288876
"77","OLS",0.243169396673541,0.0385674901685102
"78","OLS",0.25060968993499,0.038301105739941
"79","OLS",0.268241193188969,0.0368329345658318
"80","OLS",0.253895123277331,0.038023404446474
"81","OLS",0.268839463586023,0.0367632015528605
"82","OLS",0.277838139955069,0.0364582653369977
"83","OLS",0.264450151500038,0.0370367203562118
"84","OLS",0.254983806917318,0.0379534195169496
"85","OLS",0.250146493747728,0.0382417076673359
"86","OLS",0.25654161907518,0.0378986564607473
"87","OLS",0.263621053327908,0.0372247638873555
"88","OLS",0.26222140898571,0.0374656087457795
"89","OLS",0.278203515927169,0.0362599122122873
"90","OLS",0.276983824704457,0.0363519755990132
