"","Model","alpha","beta"
"1","OLS",0.279306405641963,0.0354180214221269
"2","OLS",0.303270899015084,0.0340964079307981
"3","OLS",0.205173242135726,0.0431818159505748
"4","OLS",0.279342398991698,0.0362576951792049
"5","OLS",0.256594073279244,0.038016189311263
"6","OLS",0.261367506257977,0.0369516266393482
"7","OLS",0.212623692106388,0.0408366055477928
"8","OLS",0.246610459828679,0.0378145212464312
"9","OLS",0.280659290032398,0.035412875954657
"10","OLS",0.202259926672005,0.0421821874965119
"11","OLS",0.288029422545865,0.0354388032768923
"12","OLS",0.216150193527993,0.0417816597083761
"13","OLS",0.27676990051769,0.0367667623244993
"14","OLS",0.250390623177,0.0382473545109794
"15","OLS",0.194348641952922,0.0423821825780234
"16","OLS",0.228607381156337,0.0402669369735603
"17","OLS",0.216275226980013,0.0411325718432414
"18","OLS",0.291164345862921,0.0353050758418532
"19","OLS",0.27755568486185,0.0364651743564644
"20","OLS",0.252128585066455,0.0385021253071506
"21","OLS",0.287607110195152,0.0360851288841725
"22","OLS",0.376630067464874,0.0278469280729135
"23","OLS",0.275965888824589,0.0364216407174345
"24","OLS",0.291408410761857,0.0346504848911945
"25","OLS",0.188134046943792,0.0424115550010637
"26","OLS",0.270727471402419,0.0359334098699113
"27","OLS",0.232127142420435,0.0386732456634544
"28","OLS",0.112340222309511,0.0492334902527045
"29","OLS",0.276375162752581,0.0357869652948248
"30","OLS",0.24764257062382,0.0384546944375005
"31","OLS",0.292463949200657,0.033875736772409
"32","OLS",0.245353372999213,0.0391618295880054
"33","OLS",0.176085183904075,0.0430220390656104
"34","OLS",0.219469721830424,0.0405948531224364
"35","OLS",0.241983432945761,0.038833803752732
"36","OLS",0.276633204607284,0.036318019566279
"37","OLS",0.219881731196012,0.0392596201595966
"38","OLS",0.129306996019773,0.0475963594196805
"39","OLS",0.198990747528116,0.0417488494544006
"40","OLS",0.302829231142192,0.0343839809697449
"41","OLS",0.241972485033033,0.0386420517832121
"42","OLS",0.289525005688479,0.0348952807591574
"43","OLS",0.28314743649701,0.0361356216164972
"44","OLS",0.271636031991186,0.035635379198059
"45","OLS",0.316357266203856,0.0318232282480125
"46","OLS",0.29311653032262,0.0356203880718765
"47","OLS",0.20436957376382,0.0418729195735766
"48","OLS",0.231658643268771,0.0388792473333553
"49","OLS",0.287009334465765,0.0362390142024919
"50","OLS",0.262458270478568,0.0371898130497537
"51","OLS",0.29450678295124,0.0350245080272479
"52","OLS",0.343628006945217,0.0305083005118831
"53","OLS",0.324771209740504,0.03234909314835
"54","OLS",0.173643180124096,0.0444219879152568
"55","OLS",0.276768452251024,0.0362329300874036
"56","OLS",0.300773031810965,0.0339794094668183
"57","OLS",0.279415666291626,0.0360217544263522
"58","OLS",0.26685979035912,0.0365765271939812
"59","OLS",0.312197177264613,0.0329591802369876
"60","OLS",0.295887621500664,0.0351531040214176
"61","OLS",0.210772214007622,0.0427474289713024
"62","OLS",0.274060124433787,0.0354741200991163
"63","OLS",0.314126204819045,0.0323228213401165
"64","OLS",0.270138659866203,0.0372544642277572
"65","OLS",0.275940351589948,0.0356703131342054
"66","OLS",0.232167359633538,0.0383370275938399
"67","OLS",0.240314746227044,0.0389764617754788
